filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.7463768115942029,1.6612903225806452,0.9554140127388535,1.8518518518518519,62,76,138,157,1.0966300964355469,88.63372802734375
DSB Iba1 16_40X_CA3,3.0134228187919465,3.2773722627737225,4.441558441558442,4.590604026845638,137,12,149,154,18.227672576904297,96.34952545166016
DSB Iba1 16_40X_CTX1,1.1951219512195121,2.3333333333333335,0.7843137254901961,1.8823529411764706,21,20,41,204,0.8442878723144531,13.598442077636719
DSB Iba1 16_40X_CTX2,1.900943396226415,1.995049504950495,2.773755656108597,2.837962962962963,202,10,212,221,39.40544128417969,94.93074417114258
DSB Iba1 16_40X_CTX3,1.9609375,2.1271186440677967,2.287958115183246,2.5260115606936417,118,10,128,191,9.070396423339844,54.768943786621094
DSB Iba1 16_40X_DG,1.0378787878787878,1.8513513513513513,1.237037037037037,2.141025641025641,74,58,132,135,1.1308670043945312,87.15362548828125
DSB Iba1 17_40X_CA1,1.5,2.25,3.128787878787879,4.171717171717172,8,4,12,132,2.4562835693359375,5.763816833496094
DSB Iba1 17_40X_CA3,1.44,1.894736842105263,3.896103896103896,4.6875,19,6,25,154,5.110073089599609,6.432056427001953
DSB Iba1 17_40X_CTX1,2.2777777777777777,2.7333333333333334,1.5637254901960784,2.3455882352941178,15,3,18,204,1.3278961181640625,2.6453018188476562
DSB Iba1 17_40X_CTX2,3.0,3.111111111111111,3.3140495867768593,3.4420600858369097,54,2,56,242,29.742717742919922,11.802101135253906
DSB Iba1 17_40X_CTX3,2.5853658536585367,2.5853658536585367,3.774193548387097,4.006849315068493,41,0,41,155,18.192768096923828,9.359455108642578
DSB Iba1 17_40X_DG,4.202898550724638,4.915254237288136,3.9318181818181817,4.552631578947368,59,10,68,176,5.62286376953125,44.407081604003906
DSB Iba1 18_40X_CA1,1.7894736842105263,1.7894736842105263,2.544642857142857,2.544642857142857,19,0,19,112,71.99668884277344,10.935688018798828
DSB Iba1 18_40X_CA3,2.5384615384615383,2.5384615384615383,3.727272727272727,3.967741935483871,13,0,13,66,36.4354133605957,7.825183868408203
DSB Iba1 18_40X_CTX1,2.125,2.6153846153846154,2.0706521739130435,3.097560975609756,13,3,16,184,3.3540725708007812,3.196430206298828
DSB Iba1 18_40X_CTX2,2.3157894736842106,2.4444444444444446,3.5454545454545454,3.7681159420289854,18,1,19,220,40.91596603393555,5.939960479736328
DSB Iba1 18_40X_CTX3,3.4545454545454546,3.8,3.2916666666666665,3.761904761904762,10,1,11,120,18.92385482788086,1.9624710083007812
DSB Iba1 18_40X_DG,1.0597014925373134,1.0597014925373134,1.5514705882352942,1.5514705882352942,67,0,67,136,83.64906311035156,53.77206802368164
DSB Iba1 19_40X_CA1,1.0,1.0,1.0,1.0,33,0,33,33,99.50284957885742,97.84984588623047
DSB Iba1 19_40X_CA3,1.0,1.0,1.0,1.0,30,0,30,30,99.35731887817383,98.4278678894043
DSB Iba1 19_40X_CTX1,1.0,1.0,1.0,1.0,80,0,80,80,99.45621490478516,98.56758117675781
