index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
26,DSB Iba1 20_40X_CTX1,0.6666666666666666,1.0,0.5878378378378378,1.1756756756756757,2,1,3,148,0.4868507385253906,0.8257865905761719,CTX1,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
27,DSB Iba1 20_40X_CTX2,2.1538461538461537,2.333333333333333,1.1838235294117647,1.6770833333333333,12,1,13,136,0.9496688842773438,2.0682334899902344,CTX2,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
28,DSB Iba1 20_40X_CTX3,0.6666666666666666,2.0,0.6714285714285714,1.3823529411764706,1,2,3,70,0.5314826965332031,0.5598068237304688,CTX3,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
29,DSB Iba1 20_40X_DG,1.5,1.8,1.7336244541484715,1.9365853658536585,5,1,6,229,2.3174285888671875,2.923774719238281,DG,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
30,DSB Iba1 21_40X_CA1,0.7777777777777778,1.4,0.9385964912280702,1.3544303797468351,5,4,9,114,0.7778167724609375,2.5424957275390625,CA1,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
31,DSB Iba1 21_40X_CA3,0.5,1.0,1.0,1.7843137254901962,2,2,4,91,0.7436752319335938,1.3544082641601562,CA3,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
32,DSB Iba1 21_40X_CTX1,1.2777777777777777,1.9166666666666667,0.7094972067039106,1.3368421052631578,12,6,18,179,0.9168624877929688,3.311634063720703,CTX1,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
33,DSB Iba1 21_40X_CTX2,1.4,1.5555555555555556,0.8252427184466019,1.3934426229508197,9,1,10,206,1.0347366333007812,3.338623046875,CTX2,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
34,DSB Iba1 21_40X_CTX3,1.7916666666666667,2.263157894736842,1.192090395480226,2.1313131313131315,19,5,24,177,1.0148048400878906,4.697036743164063,CTX3,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
35,DSB Iba1 21_40X_DG,1.1333333333333333,1.5454545454545454,1.5044642857142858,1.783068783068783,11,4,15,223,2.2064208984375,3.5135269165039062,DG,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
