index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
158,DSB Iba1 44_40X_CA1,1.3255813953488371,1.3571428571428572,1.5229357798165135,1.537037037037037,42,1,43,109,71.6085433959961,45.28112411499024,CA1,44,147,female,APP/PS1,poor,suboptimal,suboptimal,False
159,DSB Iba1 44_40X_CA3,1.3142857142857145,1.3142857142857145,1.7384615384615385,1.7384615384615385,35,0,35,65,81.05602264404297,48.995113372802734,CA3,44,147,female,APP/PS1,poor,suboptimal,suboptimal,False
160,DSB Iba1 44_40X_CTX1,1.0962962962962963,1.0962962962962963,1.3725490196078431,1.3725490196078431,135,0,135,255,83.38785171508789,61.879920959472656,CTX1,44,147,female,APP/PS1,poor,suboptimal,suboptimal,False
161,DSB Iba1 44_40X_DG,1.1566265060240963,1.1566265060240963,1.5384615384615383,1.5625,83,0,83,130,45.105743408203125,39.72511291503906,DG,44,147,female,APP/PS1,poor,suboptimal,suboptimal,False
168,DSB Iba1 46_40X_CA1,1.9577464788732395,2.074626865671642,3.020833333333333,3.063380281690141,67,4,71,144,48.19374084472656,47.70441055297852,CA1,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
169,DSB Iba1 46_40X_CA3,2.3174603174603177,2.607142857142857,4.205882352941177,4.80672268907563,56,7,63,136,18.149757385253903,31.574440002441406,CA3,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
170,DSB Iba1 46_40X_CTX1,1.752212389380531,1.81651376146789,2.637450199203187,2.6910569105691056,109,4,113,251,58.10279846191406,46.37212753295898,CTX1,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
171,DSB Iba1 46_40X_CTX2,1.5328947368421053,1.563758389261745,2.071428571428572,2.116788321167883,149,3,152,280,64.41020965576172,51.16119384765625,CTX2,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
172,DSB Iba1 46_40X_CTX3,1.834710743801653,1.88135593220339,2.9285714285714284,3.04296875,118,3,121,266,45.4249382019043,32.654476165771484,CTX3,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
173,DSB Iba1 46_40X_DG,1.5326086956521738,1.5326086956521738,2.415730337078652,2.415730337078652,92,0,92,178,52.95248031616211,56.203651428222656,DG,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
174,DSB Iba1 47_40X_CA1,1.3333333333333333,2.1818181818181817,1.4685714285714286,2.3577981651376145,11,7,18,175,3.0524253845214844,6.558036804199219,CA1,47,887,male,APP/PS1,good,optimal,optimal,False
175,DSB Iba1 47_40X_CA3,1.5,2.076923076923077,3.9079754601227,4.615942028985507,13,5,18,163,5.192661285400391,8.901691436767578,CA3,47,887,male,APP/PS1,good,optimal,optimal,False
176,DSB Iba1 47_40X_CTX1,0.5,1.5454545454545454,0.6444444444444445,1.5615384615384615,11,23,34,315,0.7054328918457031,5.655956268310547,CTX1,47,887,male,APP/PS1,good,optimal,optimal,False
177,DSB Iba1 47_40X_CTX2,2.0485436893203883,2.24468085106383,3.0437956204379564,3.283464566929134,94,9,103,274,18.903064727783203,30.04922866821289,CTX2,47,887,male,APP/PS1,good,suboptimal,suboptimal,False
178,DSB Iba1 47_40X_CTX3,1.3461538461538465,1.7073170731707317,1.737556561085973,2.0869565217391304,41,11,52,221,5.331134796142578,14.159202575683594,CTX3,47,887,male,APP/PS1,good,optimal,optimal,False
179,DSB Iba1 47_40X_DG,2.1666666666666665,2.294117647058824,3.834254143646409,3.898876404494382,17,1,18,181,22.7813720703125,13.895225524902344,DG,47,887,male,APP/PS1,good,optimal,suboptimal,False
186,DSB Iba1 49_40X_CA1,2.0,2.0,2.5205479452054798,2.647482014388489,24,0,24,146,44.43187713623047,8.189868927001953,CA1,49,231,male,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
187,DSB Iba1 49_40X_CA3,0.8947368421052632,1.7,2.5,3.8947368421052633,10,9,19,148,4.161643981933594,6.575107574462891,CA3,49,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
188,DSB Iba1 49_40X_CTX1,1.4,1.5,1.5459770114942528,1.6918238993710693,28,2,30,174,35.48917770385742,8.087635040283203,CTX1,49,231,male,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
189,DSB Iba1 49_40X_CTX2,1.4,1.6666666666666667,1.868421052631579,2.0402298850574714,21,4,25,190,37.35837936401367,6.462860107421875,CTX2,49,231,male,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
190,DSB Iba1 49_40X_CTX3,0.6666666666666666,1.1111111111111112,1.4338235294117647,2.2413793103448274,9,6,15,136,2.4756431579589844,2.49490737915039,CTX3,49,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
191,DSB Iba1 49_40X_DG,2.034482758620689,2.034482758620689,2.7457627118644066,2.8092485549132946,29,0,29,177,54.27255630493164,14.119243621826172,DG,49,231,male,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
