filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.2916666666666667,1.0425531914893618,0.30808080808080807,1.0338983050847457,47,121,168,198,0.17080307006835938,88.63372802734375
DSB Iba1 16_40X_CA3,0.6836158192090396,1.5512820512820513,0.6994535519125683,1.5421686746987953,78,99,177,183,0.4139900207519531,96.34952545166016
DSB Iba1 16_40X_CTX1,0.08163265306122448,1.0,0.1646090534979424,1.0256410256410255,4,45,49,243,0.10004043579101562,13.598442077636719
DSB Iba1 16_40X_CTX2,0.42916666666666664,1.2409638554216869,0.42570281124497994,1.2325581395348837,83,157,240,249,0.21800994873046875,94.93074417114258
DSB Iba1 16_40X_CTX3,0.5434782608695652,1.293103448275862,0.5246636771300448,1.3928571428571428,58,80,138,223,0.29659271240234375,54.768943786621094
DSB Iba1 16_40X_DG,0.2608695652173913,1.2272727272727273,0.2672811059907834,1.2340425531914894,44,163,207,217,0.1560211181640625,87.15362548828125
DSB Iba1 17_40X_CA1,0.09090909090909091,1.0,0.3225806451612903,1.1111111111111112,1,10,11,155,0.13637542724609375,5.763816833496094
DSB Iba1 17_40X_CA3,0.20833333333333334,1.0,0.5056179775280899,1.3235294117647058,5,19,24,178,0.2896308898925781,6.432056427001953
DSB Iba1 17_40X_CTX1,0.42857142857142855,1.0,0.24380165289256198,1.0,9,12,21,242,0.15544891357421875,2.6453018188476562
DSB Iba1 17_40X_CTX2,0.5517241379310345,1.28,0.3140794223826715,1.144736842105263,25,33,58,277,0.24576187133789062,11.802101135253906
DSB Iba1 17_40X_CTX3,0.9,1.6363636363636365,0.8595505617977528,1.7386363636363635,22,18,40,178,0.5042076110839844,9.359455108642578
DSB Iba1 17_40X_DG,0.4222222222222222,1.2258064516129032,0.4110169491525424,1.2278481012658229,31,59,90,236,0.24499893188476562,44.407081604003906
DSB Iba1 18_40X_CA1,0.75,1.5,0.5538461538461539,1.309090909090909,10,10,20,130,0.2682685852050781,10.935688018798828
DSB Iba1 18_40X_CA3,1.0526315789473684,1.8181818181818181,0.5684210526315789,1.3846153846153846,11,8,19,95,0.24471282958984375,7.825183868408203
DSB Iba1 18_40X_CTX1,0.125,1.0,0.06756756756756757,1.0,3,21,24,222,0.033664703369140625,3.196430206298828
DSB Iba1 18_40X_CTX2,0.30434782608695654,1.0,0.12167300380228137,1.0,7,16,23,263,0.07190704345703125,5.939960479736328
DSB Iba1 18_40X_CTX3,0.4117647058823529,1.0,0.17333333333333334,1.1818181818181819,7,10,17,150,0.09584426879882812,1.9624710083007812
DSB Iba1 18_40X_DG,1.4634146341463414,2.0,1.1647727272727273,1.8303571428571428,60,22,82,176,1.4016151428222656,53.77206802368164
DSB Iba1 19_40X_CA1,1.4893617021276595,1.8918918918918919,1.6808510638297873,2.135135135135135,37,10,47,47,2.2649765014648438,97.84984588623047
DSB Iba1 19_40X_CA3,1.5681818181818181,2.0294117647058822,1.6888888888888889,2.111111111111111,34,10,44,45,1.8939971923828125,98.4278678894043
DSB Iba1 19_40X_CTX1,0.6846153846153846,1.5344827586206897,0.7923076923076923,1.6885245901639345,58,72,130,130,1.1583328247070312,98.56758117675781
DSB Iba1 19_40X_CTX2,0.4782608695652174,1.2941176470588236,0.4716981132075472,1.25,17,29,46,53,0.3500938415527344,92.62237548828125
DSB Iba1 19_40X_CTX3,0.273972602739726,1.3333333333333333,0.32926829268292684,1.4210526315789473,15,58,73,82,0.18434524536132812,87.97607421875
DSB Iba1 19_40X_DG,2.4603174603174605,2.767857142857143,2.6666666666666665,2.9473684210526314,56,7,63,63,2.899456024169922,97.98297882080078
DSB Iba1 20_40X_CA1,0.75,1.2,0.6433566433566433,1.2266666666666666,5,3,8,143,0.31604766845703125,1.447296142578125
DSB Iba1 20_40X_CA3,0.9,1.2857142857142858,0.9256198347107438,1.5555555555555556,7,3,10,121,0.40225982666015625,1.7178535461425781
DSB Iba1 20_40X_CTX1,0.875,1.75,0.41208791208791207,1.1363636363636365,4,4,8,182,0.15668869018554688,0.8257865905761719
DSB Iba1 20_40X_CTX2,1.1764705882352942,1.8181818181818181,0.8050314465408805,1.4545454545454546,11,6,17,159,0.35343170166015625,2.0682334899902344
DSB Iba1 20_40X_CTX3,0.3333333333333333,1.0,0.42452830188679247,1.0975609756097562,1,2,3,106,0.19855499267578125,0.5598068237304688
DSB Iba1 20_40X_DG,1.1666666666666667,1.75,1.2618181818181817,1.508695652173913,4,2,6,274,0.7809638977050781,2.9237747192382812
DSB Iba1 21_40X_CA1,1.0909090909090908,1.7142857142857142,0.7407407407407407,1.2048192771084338,7,4,11,135,0.3185272216796875,2.5424957275390625
DSB Iba1 21_40X_CA3,0.6,1.0,0.7079646017699115,1.509433962264151,3,2,5,113,0.3193855285644531,1.3544082641601562
DSB Iba1 21_40X_CTX1,1.2272727272727273,1.9285714285714286,0.5959595959595959,1.2553191489361701,14,8,22,198,0.37136077880859375,3.311634063720703
DSB Iba1 21_40X_CTX2,1.0,1.3333333333333333,0.6212765957446809,1.2586206896551724,12,4,16,235,0.3701210021972656,3.338623046875
DSB Iba1 21_40X_CTX3,1.2142857142857142,1.7894736842105263,0.6410256410256411,1.4534883720930232,19,9,28,195,0.32501220703125,4.6970367431640625
DSB Iba1 21_40X_DG,0.9444444444444444,1.4166666666666667,1.1058394160583942,1.4567307692307692,12,6,18,274,0.8063316345214844,3.5135269165039062
DSB Iba1 22_40X_CA1,0.7222222222222222,1.8571428571428572,0.7517241379310344,1.379746835443038,7,11,18,145,0.4113197326660156,6.178569793701172
DSB Iba1 22_40X_CA3,1.0,1.75,0.8682170542635659,1.8064516129032258,4,3,7,129,0.4543304443359375,3.7606239318847656
DSB Iba1 22_40X_CTX1,1.0,1.8571428571428572,0.7355371900826446,1.3692307692307693,7,6,13,242,0.4538536071777344,3.6371231079101562
DSB Iba1 22_40X_CTX2,0.5263157894736842,1.4285714285714286,0.6549019607843137,1.4521739130434783,7,12,19,255,0.4548072814941406,4.0191650390625
DSB Iba1 22_40X_CTX3,0.7272727272727273,1.3333333333333333,0.2469879518072289,1.2424242424242424,6,5,11,166,0.0797271728515625,0.730133056640625
DSB Iba1 22_40X_DG,0.9444444444444444,1.5454545454545454,1.2990654205607477,1.622568093385214,11,7,18,321,1.1670112609863281,5.748558044433594
DSB Iba1 23_40X_CA1,0.2857142857142857,1.0,0.5581395348837209,1.2,2,5,7,129,0.23622512817382812,4.248046875
DSB Iba1 23_40X_CA3,0.7142857142857143,1.6666666666666667,0.5436893203883495,1.3658536585365855,3,4,7,103,0.19931793212890625,2.0812034606933594
DSB Iba1 23_40X_CTX1,0.32142857142857145,1.125,0.30434782608695654,1.037037037037037,8,20,28,184,0.15401840209960938,5.792427062988281
DSB Iba1 23_40X_CTX2,0.0,,0.05142857142857143,1.125,0,5,5,175,0.0171661376953125,0.7174491882324219
DSB Iba1 23_40X_CTX3,0.6875,1.2222222222222223,0.5611510791366906,1.2380952380952381,9,7,16,139,0.20122528076171875,2.988147735595703
DSB Iba1 23_40X_DG,0.6153846153846154,1.3333333333333333,0.890728476821192,1.2995169082125604,6,7,13,300,0.5213737487792969,7.934856414794922
DSB Iba1 24_40X_CA1,0.0,,0.345679012345679,1.0980392156862746,0,9,9,162,0.10480880737304688,0.7791519165039062
DSB Iba1 24_40X_CA3,0.0,,0.39285714285714285,1.1891891891891893,0,4,4,112,0.08687973022460938,0.9073257446289062
DSB Iba1 24_40X_CTX1,0.0,,0.13068181818181818,1.0,0,22,22,176,0.06818771362304688,1.7583847045898438
DSB Iba1 24_40X_CTX2,0.20689655172413793,1.0,0.15234375,1.054054054054054,6,23,29,256,0.07171630859375,3.3802032470703125
DSB Iba1 24_40X_CTX3,0.05,1.0,0.14925373134328357,1.0344827586206897,1,19,20,201,0.0782012939453125,1.4982223510742188
