index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
51,DSB Iba1 24_40X_CTX2,0.4615384615384615,1.2,0.4786324786324786,1.2873563218390804,10,16,26,234,0.5938529968261719,3.3802032470703125,CTX2,24,887,male,APP/PS1,good,optimal,optimal,True
52,DSB Iba1 24_40X_CTX3,0.0714285714285714,1.0,0.5798816568047337,1.7818181818181815,1,13,14,169,0.5388259887695312,1.4982223510742188,CTX3,24,887,male,APP/PS1,good,optimal,optimal,True
53,DSB Iba1 24_40X_DG,0.0,,0.2073170731707317,1.4166666666666667,0,5,5,164,0.1180648803710937,0.8672714233398438,DG,24,887,male,APP/PS1,good,optimal,optimal,True
54,DSB Iba1 25_40X_CA1,1.0,1.5,1.6714285714285717,2.25,4,2,6,140,1.3138771057128906,3.17068099975586,CA1,25,2014,male,APP/PS1,good,optimal,optimal,True
55,DSB Iba1 25_40X_CA3,0.5714285714285714,1.3333333333333333,1.8166666666666669,2.8684210526315788,3,4,7,120,2.0705223083496094,2.813243865966797,CA3,25,2014,male,APP/PS1,good,optimal,optimal,True
56,DSB Iba1 25_40X_CTX1,0.9230769230769232,1.3333333333333333,0.6836734693877551,1.2407407407407407,9,4,13,98,0.565338134765625,3.438568115234375,CTX1,25,2014,male,APP/PS1,good,optimal,optimal,True
57,DSB Iba1 25_40X_CTX2,0.8571428571428571,1.3333333333333333,1.8125,2.543859649122807,9,5,14,160,1.6091346740722656,6.374835968017578,CTX2,25,2014,male,APP/PS1,good,optimal,optimal,True
58,DSB Iba1 25_40X_CTX3,1.5,2.25,2.17032967032967,2.883211678832117,4,2,6,182,1.6841888427734375,2.7411460876464844,CTX3,25,2014,male,APP/PS1,good,optimal,optimal,True
59,DSB Iba1 25_40X_DG,2.1333333333333333,2.4615384615384617,2.269360269360269,2.4779411764705883,13,2,15,297,4.139518737792969,3.351020812988281,DG,25,2014,male,APP/PS1,good,optimal,optimal,True
67,DSB Iba1 28_40X_CA1,0.3333333333333333,1.0,1.1372549019607845,1.7575757575757576,1,2,3,51,1.17950439453125,2.5665283203125,CA1,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
68,DSB Iba1 28_40X_CA3,0.5,1.0,0.6129032258064516,1.3571428571428572,1,1,2,62,1.036834716796875,2.448272705078125,CA3,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
69,DSB Iba1 28_40X_CTX1,0.4285714285714285,1.5,0.7395833333333334,1.4489795918367347,2,5,7,96,1.6277313232421875,3.2138824462890625,CTX1,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
70,DSB Iba1 28_40X_CTX2,1.0833333333333333,1.8571428571428568,1.0053475935828875,1.9789473684210528,7,5,12,187,0.6724357604980469,2.5005340576171875,CTX2,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
71,DSB Iba1 28_40X_CTX3,1.0,1.2857142857142858,1.326530612244898,1.8439716312056735,7,2,9,196,0.9607315063476562,2.412891387939453,CTX3,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
72,DSB Iba1 28_40X_DG,2.1578947368421053,2.5625,2.668103448275862,2.892523364485981,16,3,19,232,4.607105255126953,7.0148468017578125,DG,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
73,DSB Iba1 29_40X_CA1,1.5,2.25,0.8114754098360656,1.2692307692307692,4,2,6,122,0.8039474487304688,2.208709716796875,CA1,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
74,DSB Iba1 29_40X_CA3,1.0,1.3333333333333333,0.6509433962264151,1.4081632653061225,3,1,4,106,0.6873130798339844,1.9129753112792969,CA3,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
75,DSB Iba1 29_40X_CTX1,1.1111111111111112,1.6666666666666667,0.8426966292134831,1.4285714285714286,12,6,18,178,0.9842872619628906,5.022335052490234,CTX1,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
76,DSB Iba1 29_40X_CTX2,1.3043478260869563,1.875,1.2295081967213115,1.717557251908397,16,7,23,183,1.365375518798828,7.678985595703125,CTX2,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
77,DSB Iba1 29_40X_CTX3,0.8,1.0,0.6025641025641025,1.2876712328767124,8,2,10,156,0.4662513732910156,3.7689208984375,CTX3,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
78,DSB Iba1 29_40X_DG,0.6666666666666666,1.5,1.1494252873563218,1.530612244897959,4,5,9,261,2.083301544189453,2.2146224975585938,DG,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
79,DSB Iba1 30_40X_CA1,0.0,,0.6310679611650486,1.3,0,6,6,103,0.4213333129882812,1.6625404357910156,CA1,30,2041,female,APP/PS1,good,optimal,optimal,True
80,DSB Iba1 30_40X_CA3,1.2,2.0,0.8552631578947368,1.4444444444444444,3,2,5,76,0.7200241088867188,1.3019561767578125,CA3,30,2041,female,APP/PS1,good,optimal,optimal,True
81,DSB Iba1 30_40X_CTX1,1.1176470588235294,2.111111111111111,0.485,1.2278481012658229,9,8,17,200,0.4976272583007812,2.780723571777344,CTX1,30,2041,female,APP/PS1,good,optimal,optimal,True
82,DSB Iba1 30_40X_CTX2,0.5333333333333333,1.6,0.5900900900900901,1.323232323232323,5,10,15,222,0.5642890930175781,2.3637771606445312,CTX2,30,2041,female,APP/PS1,good,optimal,optimal,True
83,DSB Iba1 30_40X_CTX3,0.8333333333333334,2.0,0.4021739130434782,1.3962264150943395,5,7,12,184,0.2711296081542969,1.4829635620117188,CTX3,30,2041,female,APP/PS1,good,optimal,optimal,True
84,DSB Iba1 30_40X_DG,1.25,1.6666666666666667,1.2116182572614107,1.813664596273292,3,1,4,241,1.5737533569335938,2.1762847900390625,DG,30,2041,female,APP/PS1,good,optimal,optimal,True
85,DSB Iba1 31_40X_CA1,0.5714285714285714,1.0,1.0775193798449612,1.4787234042553192,4,3,7,129,0.908184051513672,3.847122192382813,CA1,31,2042,male,APP/PS1,good,optimal,optimal,True
86,DSB Iba1 31_40X_CA3,,,0.9225806451612903,1.361904761904762,0,0,0,155,1.42059326171875,1.217937469482422,CA3,31,2042,male,APP/PS1,good,optimal,optimal,True
87,DSB Iba1 31_40X_CTX1,0.7272727272727273,2.0,0.5029585798816568,1.1805555555555556,4,7,11,169,0.45013427734375,3.5140037536621094,CTX1,31,2042,male,APP/PS1,good,optimal,optimal,True
88,DSB Iba1 31_40X_CTX2,0.5,1.3333333333333333,0.6425339366515838,1.279279279279279,6,10,16,221,0.5597114562988281,2.959632873535156,CTX2,31,2042,male,APP/PS1,good,optimal,optimal,True
89,DSB Iba1 31_40X_CTX3,0.5,1.3333333333333333,0.9523809523809524,1.643835616438356,3,5,8,126,0.7208824157714844,3.2898902893066406,CTX3,31,2042,male,APP/PS1,good,optimal,optimal,True
90,DSB Iba1 31_40X_DG,1.5833333333333333,2.111111111111111,1.7625,2.073529411764706,9,3,12,240,2.163314819335937,3.90176773071289,DG,31,2042,male,APP/PS1,good,optimal,optimal,True
97,DSB Iba1 33_40X_CA1,0.75,1.5,0.8421052631578947,1.3150684931506849,2,2,4,114,0.8049964904785156,2.395153045654297,CA1,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
98,DSB Iba1 33_40X_CA3,0.7142857142857143,1.25,0.994011976047904,1.4067796610169492,4,3,7,167,1.3813972473144531,1.8873214721679688,CA3,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
99,DSB Iba1 33_40X_CTX1,0.7,1.75,0.6878048780487804,1.236842105263158,4,6,10,205,1.5479087829589844,1.194000244140625,CTX1,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
100,DSB Iba1 33_40X_CTX2,1.0833333333333333,1.625,1.3144329896907216,1.976744186046512,8,4,12,194,1.5409469604492188,2.6653289794921875,CTX2,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
101,DSB Iba1 33_40X_CTX3,0.875,1.4,0.8783783783783784,1.5662650602409638,5,3,8,148,0.8223533630371094,2.5826454162597656,CTX3,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
102,DSB Iba1 33_40X_DG,1.6666666666666667,3.0,1.735191637630662,2.040983606557377,5,4,9,287,3.18288803100586,3.2654762268066406,DG,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
115,DSB Iba1 36_40X_CA1,1.0,1.5,1.105263157894737,1.5154639175257731,6,3,9,133,1.4990806579589844,2.2858619689941406,CA1,36,2012,male,APP/PS1,good,optimal,optimal,True
116,DSB Iba1 36_40X_CA3,0.4,2.0,0.8064516129032258,1.2096774193548387,1,4,5,93,1.174163818359375,1.1386871337890625,CA3,36,2012,male,APP/PS1,good,optimal,optimal,True
117,DSB Iba1 36_40X_CTX1,1.1578947368421053,1.5714285714285714,1.966019417475728,2.396449704142012,14,5,19,206,2.8151512145996094,3.605270385742188,CTX1,36,2012,male,APP/PS1,good,optimal,optimal,True
118,DSB Iba1 36_40X_CTX2,1.3076923076923077,2.0,1.2425742574257426,1.6845637583892616,17,9,26,202,2.0681381225585938,4.596138000488281,CTX2,36,2012,male,APP/PS1,good,optimal,optimal,True
119,DSB Iba1 36_40X_CTX3,1.125,1.2857142857142858,1.0874316939890711,1.5190839694656488,7,1,8,183,1.329326629638672,2.627086639404297,CTX3,36,2012,male,APP/PS1,good,optimal,optimal,True
120,DSB Iba1 36_40X_DG,2.7142857142857144,3.1666666666666665,1.8436213991769548,2.1333333333333333,6,1,7,243,4.043292999267578,1.8873214721679688,DG,36,2012,male,APP/PS1,good,optimal,optimal,True
121,DSB Iba1 37_40X_CA1,0.8333333333333334,1.25,1.2620689655172417,2.2048192771084336,4,2,6,145,1.2406349182128906,1.4169692993164062,CA1,37,892,female,APP/PS1,good,optimal,optimal,True
122,DSB Iba1 37_40X_CA3,0.4444444444444444,1.0,1.4830508474576272,2.430555555555556,4,5,9,118,1.8404960632324217,3.2583236694335938,CA3,37,892,female,APP/PS1,good,optimal,optimal,True
123,DSB Iba1 37_40X_CTX1,1.4,1.9090909090909087,1.5277777777777777,2.129032258064516,11,4,15,216,2.520465850830078,2.8922080993652344,CTX1,37,892,female,APP/PS1,good,optimal,optimal,True
