filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.6666666666666666,1.6,0.9554140127388535,1.8518518518518519,5,7,12,157,1.0966300964355469,0.9965896606445312
DSB Iba1 16_40X_CA3,3.5,3.5,4.441558441558442,4.590604026845638,16,0,16,154,18.227672576904297,6.0211181640625
DSB Iba1 16_40X_CTX1,1.2,2.25,0.7843137254901961,1.8823529411764706,8,7,15,204,0.8442878723144531,1.1982917785644531
DSB Iba1 16_40X_CTX2,2.5238095238095237,2.5238095238095237,2.773755656108597,2.837962962962963,21,0,21,221,39.40544128417969,3.5928726196289062
DSB Iba1 16_40X_CTX3,3.5416666666666665,3.8636363636363638,2.287958115183246,2.5260115606936417,22,2,24,191,9.070396423339844,4.398918151855469
DSB Iba1 16_40X_DG,0.75,1.8,1.237037037037037,2.141025641025641,5,7,12,135,1.1308670043945312,2.8591156005859375
DSB Iba1 17_40X_CA1,1.0,1.0,3.128787878787879,4.171717171717172,1,0,1,132,2.4562835693359375,0.12826919555664062
DSB Iba1 17_40X_CA3,2.25,2.25,3.896103896103896,4.6875,8,0,8,154,5.110073089599609,0.6687164306640625
DSB Iba1 17_40X_CTX1,5.333333333333333,5.333333333333333,1.5637254901960784,2.3455882352941178,3,0,3,204,1.3278961181640625,0.31871795654296875
DSB Iba1 17_40X_CTX2,3.4285714285714284,3.6,3.3140495867768593,3.4420600858369097,20,1,21,242,29.742717742919922,2.1379470825195312
DSB Iba1 17_40X_CTX3,3.111111111111111,3.111111111111111,3.774193548387097,4.006849315068493,27,0,27,155,18.192768096923828,2.2126197814941406
DSB Iba1 17_40X_DG,1.6666666666666667,2.0,3.9318181818181817,4.552631578947368,5,1,6,176,5.62286376953125,0.7548332214355469
DSB Iba1 18_40X_CA1,,,2.544642857142857,2.544642857142857,0,0,0,112,71.99668884277344,0.3508567810058594
DSB Iba1 18_40X_CA3,1.5,1.5,3.727272727272727,3.967741935483871,4,0,4,66,36.4354133605957,0.8465766906738281
DSB Iba1 18_40X_CTX1,3.25,4.333333333333333,2.0706521739130435,3.097560975609756,3,1,4,184,3.3540725708007812,0.3584861755371094
DSB Iba1 18_40X_CTX2,1.75,1.75,3.5454545454545454,3.7681159420289854,4,0,4,220,40.91596603393555,0.5217552185058594
DSB Iba1 18_40X_CTX3,4.333333333333333,4.333333333333333,3.2916666666666665,3.761904761904762,3,0,3,120,18.92385482788086,0.14638900756835938
DSB Iba1 18_40X_DG,1.0,1.0,1.5514705882352942,1.5514705882352942,6,0,6,136,83.64906311035156,1.7506599426269531
DSB Iba1 19_40X_CA1,1.0,1.0,1.0,1.0,16,0,16,33,99.50284957885742,19.483661651611328
DSB Iba1 19_40X_CA3,1.0,1.0,1.0,1.0,14,0,14,30,99.35731887817383,18.919754028320312
DSB Iba1 19_40X_CTX1,1.0,1.0,1.0,1.0,20,0,20,80,99.45621490478516,18.561267852783203
DSB Iba1 19_40X_CTX2,1.0,1.0,1.0,1.0,10,0,10,32,97.04084396362305,2.924823760986328
DSB Iba1 19_40X_CTX3,1.0,1.0,1.0,1.0,7,0,7,39,98.70357513427734,1.129150390625
DSB Iba1 19_40X_DG,1.0,1.0,1.0,1.0,21,0,21,38,99.53365325927734,29.180526733398438
DSB Iba1 20_40X_CA1,0.0,,0.8264462809917356,1.408450704225352,0,1,1,121,0.7762908935546875,0.048160552978515625
DSB Iba1 20_40X_CA3,,,1.3571428571428572,1.9558823529411764,0,0,0,98,1.1053085327148438,0.0720977783203125
DSB Iba1 20_40X_CTX1,,,0.635036496350365,1.1917808219178083,0,0,0,137,0.4868507385253906,0.035858154296875
DSB Iba1 20_40X_CTX2,3.25,3.25,1.2348484848484849,1.7157894736842105,4,0,4,132,0.9496688842773438,0.21600723266601562
DSB Iba1 20_40X_CTX3,,,0.6811594202898551,1.4242424242424243,0,0,0,69,0.5314826965332031,0.0247955322265625
DSB Iba1 20_40X_DG,1.3333333333333333,2.0,1.8177339901477831,2.0386740331491713,2,1,3,202,2.3174285888671875,0.45299530029296875
DSB Iba1 21_40X_CA1,0.6666666666666666,2.0,0.9464285714285714,1.3766233766233766,1,2,3,112,0.7778167724609375,0.394439697265625
DSB Iba1 21_40X_CA3,,,1.0212765957446808,1.7454545454545454,0,0,0,94,0.7436752319335938,0.0682830810546875
DSB Iba1 21_40X_CTX1,1.5,2.25,0.7314285714285714,1.391304347826087,4,2,6,175,0.9168624877929688,0.4323005676269531
DSB Iba1 21_40X_CTX2,2.0,2.0,0.8606965174129353,1.4297520661157024,3,0,3,201,1.0347366333007812,0.4795074462890625
DSB Iba1 21_40X_CTX3,2.3846153846153846,2.5833333333333335,1.2411764705882353,2.1530612244897958,12,1,13,170,1.0148048400878906,0.8866310119628906
DSB Iba1 21_40X_DG,1.5,1.5,1.641711229946524,1.883435582822086,2,0,2,187,2.2064208984375,0.6180763244628906
DSB Iba1 22_40X_CA1,2.6666666666666665,2.6666666666666665,1.5590551181102361,2.152173913043478,9,0,9,127,1.2415885925292969,1.0023117065429688
DSB Iba1 22_40X_CA3,2.5,2.5,1.358974358974359,2.1780821917808217,2,0,2,117,1.2543678283691406,0.4096031188964844
DSB Iba1 22_40X_CTX1,4.8,4.8,1.4722222222222223,2.1780821917808217,5,0,5,216,1.403045654296875,0.3567695617675781
DSB Iba1 22_40X_CTX2,1.75,2.3333333333333335,1.261467889908257,2.131782945736434,6,2,8,218,1.3582229614257812,0.6594657897949219
DSB Iba1 22_40X_CTX3,2.0,2.0,0.45652173913043476,1.3404255319148937,1,0,1,138,0.2514839172363281,0.042629241943359375
DSB Iba1 22_40X_DG,1.4,1.75,2.2024291497975708,2.4840182648401825,4,1,5,247,3.1919479370117188,0.9482383728027344
DSB Iba1 23_40X_CA1,0.6666666666666666,2.0,0.8165137614678899,1.4126984126984128,1,2,3,109,0.5928993225097656,0.5122184753417969
DSB Iba1 23_40X_CA3,,,0.8048780487804879,1.5,0,0,0,82,0.531768798828125,0.14553070068359375
DSB Iba1 23_40X_CTX1,0.5384615384615384,1.75,0.4430379746835443,1.1290322580645162,4,9,13,158,0.4361152648925781,1.4515876770019531
DSB Iba1 23_40X_CTX2,,,0.12030075187969924,1.1428571428571428,0,0,0,133,0.07200241088867188,0.018787384033203125
DSB Iba1 23_40X_CTX3,0.75,1.0,0.8604651162790697,1.48,3,1,4,129,0.6974220275878906,0.3681182861328125
DSB Iba1 23_40X_DG,3.5,4.666666666666667,1.3619909502262444,1.6910112359550562,3,1,4,221,1.8776893615722656,2.3759841918945312
DSB Iba1 24_40X_CA1,,,0.7478991596638656,1.7450980392156863,0,0,0,119,0.4246711730957031,0.034236907958984375
DSB Iba1 24_40X_CA3,,,0.76,1.4615384615384615,0,0,0,75,0.2900123596191406,0.037860870361328125
DSB Iba1 24_40X_CTX1,0.0,,0.27350427350427353,1.2307692307692308,0,1,1,117,0.23565292358398438,0.2323150634765625
