filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.8928571428571429,1.8987341772151898,0.8888888888888888,1.8144329896907216,79,89,168,198,1.0966300964355469,88.63372802734375
DSB Iba1 16_40X_CA3,4.056497175141243,4.273809523809524,4.311475409836065,4.508571428571429,168,9,177,183,18.227672576904297,96.34952545166016
DSB Iba1 16_40X_CTX1,1.346938775510204,2.4444444444444446,0.7325102880658436,1.8736842105263158,27,22,49,243,0.8442878723144531,13.598442077636719
DSB Iba1 16_40X_CTX2,2.4208333333333334,2.472340425531915,2.6987951807228914,2.7540983606557377,235,5,240,249,39.40544128417969,94.93074417114258
DSB Iba1 16_40X_CTX3,2.1884057971014492,2.359375,2.0358744394618835,2.3045685279187818,128,10,138,223,9.070396423339844,54.768943786621094
DSB Iba1 16_40X_DG,0.9903381642512077,1.7982456140350878,0.9907834101382489,1.7916666666666667,114,93,207,217,1.1308670043945312,87.15362548828125
DSB Iba1 17_40X_CA1,1.9090909090909092,3.0,2.832258064516129,3.8508771929824563,7,4,11,155,2.4562835693359375,5.763816833496094
DSB Iba1 17_40X_CA3,1.75,2.625,3.842696629213483,4.75,16,8,24,178,5.110073089599609,6.432056427001953
DSB Iba1 17_40X_CTX1,2.4285714285714284,2.8333333333333335,1.384297520661157,2.2333333333333334,18,3,21,242,1.3278961181640625,2.6453018188476562
DSB Iba1 17_40X_CTX2,3.5689655172413794,3.6964285714285716,3.068592057761733,3.1954887218045114,56,2,58,277,29.742717742919922,11.802101135253906
DSB Iba1 17_40X_CTX3,2.95,2.95,3.398876404494382,3.6666666666666665,40,0,40,178,18.192768096923828,9.359455108642578
DSB Iba1 17_40X_DG,4.555555555555555,5.0,3.4110169491525424,4.086294416243655,82,8,90,236,5.62286376953125,44.407081604003906
DSB Iba1 18_40X_CA1,1.95,1.95,2.353846153846154,2.353846153846154,20,0,20,130,71.99668884277344,10.935688018798828
DSB Iba1 18_40X_CA3,2.526315789473684,2.526315789473684,3.9157894736842107,4.0,19,0,19,95,36.4354133605957,7.825183868408203
DSB Iba1 18_40X_CTX1,2.875,3.8333333333333335,1.9504504504504505,3.027972027972028,18,6,24,222,3.3540725708007812,3.196430206298828
DSB Iba1 18_40X_CTX2,4.043478260869565,4.2272727272727275,3.5133079847908744,3.725806451612903,22,1,23,263,40.91596603393555,5.939960479736328
DSB Iba1 18_40X_CTX3,4.235294117647059,4.5,2.953333333333333,3.6611570247933884,16,1,17,150,18.92385482788086,1.9624710083007812
DSB Iba1 18_40X_DG,1.1829268292682926,1.1829268292682926,1.4715909090909092,1.4715909090909092,82,0,82,176,83.64906311035156,53.77206802368164
DSB Iba1 19_40X_CA1,1.0,1.0,1.0,1.0,47,0,47,47,99.50284957885742,97.84984588623047
DSB Iba1 19_40X_CA3,1.0,1.0,1.0,1.0,44,0,44,45,99.35731887817383,98.4278678894043
