index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
23,DSB GFAP 13_40X_DG,0.5,1.8,0.9641693811074918,1.517948717948718,5,13,18,307,1.0819435119628906,5.682182312011719,DG,13,231,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
24,DSB GFAP 14_40X_CA1,0.8,1.0,0.8728813559322034,1.2117647058823529,8,2,10,118,1.1366844177246094,2.242565155029297,CA1,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
25,DSB GFAP 14_40X_CA3,1.2,1.5,1.086021505376344,1.6290322580645162,4,1,5,93,1.1168479919433594,1.7438888549804688,CA3,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
26,DSB GFAP 14_40X_CTX1,0.875,1.4,0.8245614035087719,1.4242424242424243,5,3,8,171,1.1531829833984375,2.1585464477539062,CTX1,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
27,DSB GFAP 14_40X_CTX2,0.6153846153846154,1.1428571428571428,0.8837209302325582,1.3194444444444444,7,6,13,215,1.578521728515625,3.577709197998047,CTX2,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
28,DSB GFAP 14_40X_CTX3,1.0,1.6666666666666667,1.0123456790123455,1.561904761904762,3,2,5,161,1.1056900024414062,1.31683349609375,CTX3,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
29,DSB GFAP 14_40X_DG,1.2608695652173914,1.8125,1.1733333333333331,1.4332247557003257,16,7,23,374,3.3865928649902344,5.574798583984375,DG,14,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
30,DSB GFAP 15_40X_CA1,1.2,1.5,0.7745664739884393,1.1551724137931034,8,2,10,173,1.5621185302734375,1.6439437866210938,CA1,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
31,DSB GFAP 15_40X_CA3,0.875,1.1666666666666667,1.0615384615384615,1.5,6,2,8,130,1.346588134765625,1.771259307861328,CA3,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
32,DSB GFAP 15_40X_CTX1,0.3333333333333333,1.0,0.7307692307692307,1.2881355932203389,1,2,3,312,1.8471717834472656,0.2964019775390625,CTX1,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
33,DSB GFAP 15_40X_CTX2,0.6,1.2,0.87,1.359375,5,5,10,200,1.3387680053710938,1.8911361694335935,CTX2,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
34,DSB GFAP 15_40X_CTX3,1.7142857142857142,1.7142857142857142,0.7847222222222222,1.3452380952380951,7,0,7,144,0.9726524353027344,2.537822723388672,CTX3,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
35,DSB GFAP 15_40X_DG,1.0,1.0,1.1105882352941177,1.3524355300859598,2,0,2,422,3.8112640380859375,1.705169677734375,DG,15,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
36,DSB GFAP 16_40X_CA1,0.0,,0.6323529411764706,1.5636363636363635,0,7,7,136,0.6175041198730469,1.6312599182128906,CA1,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
37,DSB GFAP 16_40X_CA3,0.0,,0.9183673469387756,1.512605042016807,0,6,6,196,1.6666412353515625,1.0889053344726562,CA3,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
38,DSB GFAP 16_40X_CTX1,0.4,2.0,0.6066350710900474,1.2673267326732671,2,8,10,211,0.6267547607421875,3.062725067138672,CTX1,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
39,DSB GFAP 16_40X_CTX2,0.5,1.3333333333333333,0.631336405529954,1.3300970873786409,3,5,8,217,0.8629798889160156,2.2581100463867188,CTX2,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
40,DSB GFAP 16_40X_CTX3,,,0.5848214285714286,1.297029702970297,0,0,0,224,0.9211540222167968,0.4387855529785156,CTX3,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
41,DSB GFAP 16_40X_DG,0.7,1.75,1.1111111111111112,1.6030534351145038,4,6,10,376,1.8405914306640625,3.368377685546875,DG,16,2042,male,APP/PS1,good,passed,optimal,optimal,True
42,DSB GFAP 18_40X_CA1,1.0,1.5,0.7959183673469388,1.4625,6,3,9,147,0.9458541870117188,1.8751144409179688,CA1,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
43,DSB GFAP 18_40X_CA3,0.3333333333333333,1.5,1.051282051282051,1.7826086956521738,2,7,9,117,1.2465476989746094,2.7780532836914062,CA3,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
44,DSB GFAP 18_40X_CTX1,0.0,,0.7098214285714286,1.325,0,2,2,224,0.7538795471191406,0.6608963012695312,CTX1,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
45,DSB GFAP 18_40X_CTX2,0.9230769230769232,1.2,0.8743455497382199,1.5045045045045045,10,3,13,191,1.1359214782714844,3.429794311523437,CTX2,18,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
