index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB GFAP 10_40X_CA1,,,0.3879781420765027,1.0441176470588236,0,0,0,183,0.3764152526855469,0.2612113952636719,CA1,10,887,male,APP/PS1,good,passed,optimal,optimal,True
1,DSB GFAP 10_40X_CA3,0.2857142857142857,2.0,0.6931818181818182,1.3863636363636365,1,6,7,175,0.5474090576171875,1.0457992553710938,CA3,10,887,male,APP/PS1,good,passed,optimal,optimal,True
2,DSB GFAP 10_40X_CTX1,,,0.505524861878453,1.1730769230769231,0,0,0,362,0.5392074584960938,0.119781494140625,CTX1,10,887,male,APP/PS1,good,passed,optimal,optimal,True
3,DSB GFAP 10_40X_CTX2,0.3333333333333333,1.0,0.7476923076923077,1.4046242774566473,1,2,3,325,0.670623779296875,1.10015869140625,CTX2,10,887,male,APP/PS1,good,passed,optimal,optimal,True
4,DSB GFAP 10_40X_CTX3,0.25,1.0,0.9317073170731708,1.4253731343283582,1,3,4,205,0.7672309875488281,2.355480194091797,CTX3,10,887,male,APP/PS1,good,passed,optimal,optimal,True
5,DSB GFAP 10_40X_DG,0.5,1.5,1.2094594594594594,1.543103448275862,2,4,6,443,1.78070068359375,1.6019821166992188,DG,10,887,male,APP/PS1,good,passed,optimal,optimal,True
6,DSB GFAP 11_40X_CA1,1.0,1.6666666666666667,0.8208955223880597,1.2359550561797752,6,4,10,134,0.5924224853515625,3.786659240722656,CA1,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
7,DSB GFAP 11_40X_CA3,1.25,2.0,1.0,1.6140350877192982,5,3,8,92,0.4703521728515625,2.1776199340820312,CA3,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
8,DSB GFAP 11_40X_CTX1,0.5714285714285714,1.0,0.5433070866141733,1.1694915254237288,4,3,7,127,0.2637863159179687,3.3753395080566406,CTX1,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
9,DSB GFAP 11_40X_CTX2,0.5,1.0,0.5555555555555556,1.1538461538461535,3,3,6,216,0.4785537719726562,2.071762084960937,CTX2,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
