index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
26,DSB Iba1 20_40X_CTX1,1.0,1.3333333333333333,0.4095238095238095,1.131578947368421,3,1,4,210,0.1902580261230468,0.7803916931152344,CTX1,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
27,DSB Iba1 20_40X_CTX2,1.2941176470588236,1.5714285714285714,0.7840909090909091,1.4081632653061225,14,3,17,176,0.4044532775878906,1.918792724609375,CTX2,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
28,DSB Iba1 20_40X_CTX3,0.3333333333333333,1.0,0.4126984126984127,1.0196078431372548,1,2,3,126,0.2260208129882812,0.6115913391113281,CTX3,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
29,DSB Iba1 20_40X_DG,0.875,1.4,1.1631944444444444,1.4502164502164503,5,3,8,288,0.9352684020996094,3.3455848693847656,DG,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
30,DSB Iba1 21_40X_CA1,1.1,1.5714285714285714,0.7608695652173914,1.2209302325581397,7,3,10,138,0.3556251525878906,3.0714988708496094,CA1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
31,DSB Iba1 21_40X_CA3,0.5,1.0,0.7107438016528925,1.5357142857142858,2,2,4,119,0.342559814453125,1.8184661865234373,CA3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
32,DSB Iba1 21_40X_CTX1,1.4705882352941178,2.083333333333333,0.5891089108910891,1.2934782608695652,12,5,17,202,0.4111289978027344,3.271961212158203,CTX1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
33,DSB Iba1 21_40X_CTX2,1.0,1.4166666666666667,0.5992217898832685,1.2727272727272727,12,5,17,257,0.4201889038085937,3.139019012451172,CTX2,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
34,DSB Iba1 21_40X_CTX3,1.2173913043478262,1.75,0.6195121951219512,1.443181818181818,16,7,23,205,0.366973876953125,4.852581024169922,CTX3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
35,DSB Iba1 21_40X_DG,0.9285714285714286,1.181818181818182,0.9487179487179488,1.3155555555555556,11,3,14,312,0.9407997131347656,3.887462615966797,DG,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
36,DSB Iba1 22_40X_CA1,0.7333333333333333,1.5714285714285714,0.7515923566878981,1.388235294117647,7,8,15,157,0.4444122314453125,6.811428070068359,CA1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
37,DSB Iba1 22_40X_CA3,1.2,1.5,0.8695652173913043,1.7647058823529411,4,1,5,138,0.5006790161132812,4.520416259765625,CA3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
38,DSB Iba1 22_40X_CTX1,1.2,1.7142857142857142,0.7549407114624506,1.3450704225352113,7,3,10,253,0.5188941955566406,4.397869110107422,CTX1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
