filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.8051948051948052,1.8235294117647058,0.8019323671497585,1.6767676767676767,68,86,154,207,1.0966300964355469,88.63372802734375
DSB Iba1 16_40X_CA3,3.791907514450867,4.0,4.065934065934066,4.252873563218391,164,9,173,182,18.227672576904297,96.34952545166016
DSB Iba1 16_40X_CTX1,0.9166666666666666,2.2,0.6591760299625468,1.8526315789473684,15,21,36,267,0.8442878723144531,13.598442077636719
DSB Iba1 16_40X_CTX2,2.197628458498024,2.2329317269076303,2.4649446494464944,2.50187265917603,249,4,253,271,39.40544128417969,94.93074417114258
DSB Iba1 16_40X_CTX3,1.9576271186440677,2.026315789473684,1.7764227642276422,2.0325581395348835,114,4,118,246,9.070396423339844,54.768943786621094
DSB Iba1 16_40X_DG,0.9052132701421801,1.6324786324786325,0.9377777777777778,1.6356589147286822,117,94,211,225,1.1308670043945312,87.15362548828125
DSB Iba1 17_40X_CA1,1.7272727272727273,2.375,2.514450867052023,3.6554621848739495,8,3,11,173,2.4562835693359375,5.763816833496094
DSB Iba1 17_40X_CA3,1.55,2.2142857142857144,3.2960893854748603,4.244604316546763,14,6,20,179,5.110073089599609,6.432056427001953
DSB Iba1 17_40X_CTX1,2.0,2.4,1.2134831460674158,2.012422360248447,15,3,18,267,1.3278961181640625,2.6453018188476562
DSB Iba1 17_40X_CTX2,3.06,3.1875,2.7278481012658227,2.835526315789474,48,2,50,316,29.742717742919922,11.802101135253906
DSB Iba1 17_40X_CTX3,2.7714285714285714,2.7714285714285714,2.977777777777778,3.2484848484848485,35,0,35,180,18.192768096923828,9.359455108642578
DSB Iba1 17_40X_DG,3.176470588235294,3.4615384615384617,3.0538461538461537,3.497797356828194,78,7,85,260,5.62286376953125,44.407081604003906
DSB Iba1 18_40X_CA1,1.1666666666666667,1.1666666666666667,2.381818181818182,2.381818181818182,12,0,12,110,71.99668884277344,10.935688018798828
DSB Iba1 18_40X_CA3,2.6666666666666665,2.6666666666666665,4.194174757281553,4.2772277227722775,15,0,15,103,36.4354133605957,7.825183868408203
DSB Iba1 18_40X_CTX1,2.260869565217391,3.0588235294117645,1.6653061224489796,2.7755102040816326,17,6,23,245,3.3540725708007812,3.196430206298828
DSB Iba1 18_40X_CTX2,3.3529411764705883,3.5625,3.3,3.4669260700389106,16,1,17,270,40.91596603393555,5.939960479736328
DSB Iba1 18_40X_CTX3,3.375,3.857142857142857,2.59748427672956,3.3306451612903225,14,2,16,159,18.92385482788086,1.9624710083007812
DSB Iba1 18_40X_DG,1.0169491525423728,1.0169491525423728,1.408450704225352,1.408450704225352,59,0,59,142,83.64906311035156,53.77206802368164
DSB Iba1 19_40X_CA1,1.0,1.0,1.0,1.0,49,0,49,50,99.50284957885742,97.84984588623047
DSB Iba1 19_40X_CA3,1.0,1.0,1.0,1.0,53,0,53,54,99.35731887817383,98.4278678894043
DSB Iba1 19_40X_CTX1,1.0,1.0,1.0,1.0,148,0,148,150,99.45621490478516,98.56758117675781
DSB Iba1 19_40X_CTX2,1.0,1.0,1.0163934426229508,1.0163934426229508,46,0,46,61,97.04084396362305,92.62237548828125
DSB Iba1 19_40X_CTX3,1.0,1.0,1.0,1.0,72,0,72,85,98.70357513427734,87.97607421875
DSB Iba1 19_40X_DG,1.0,1.0,1.0,1.0,52,0,52,52,99.53365325927734,97.98297882080078
DSB Iba1 20_40X_CA1,0.8571428571428571,1.5,0.6645161290322581,1.2875,4,3,7,152,0.7762908935546875,1.447296142578125
DSB Iba1 20_40X_CA3,1.4285714285714286,2.0,1.1900826446280992,1.945945945945946,5,2,7,121,1.1053085327148438,1.7178535461425781
DSB Iba1 20_40X_CTX1,1.4285714285714286,2.0,0.49047619047619045,1.2261904761904763,5,2,7,210,0.4868507385253906,0.8257865905761719
DSB Iba1 20_40X_CTX2,1.736842105263158,2.2,0.9772727272727273,1.6538461538461537,15,4,19,176,0.9496688842773438,2.0682334899902344
DSB Iba1 20_40X_CTX3,0.6666666666666666,2.0,0.5,1.1454545454545455,1,2,3,126,0.5314826965332031,0.5598068237304688
DSB Iba1 20_40X_DG,0.875,1.4,1.3819444444444444,1.6793248945147679,5,3,8,288,2.3174285888671875,2.9237747192382812
DSB Iba1 21_40X_CA1,1.0,1.5714285714285714,0.8623188405797102,1.3222222222222222,7,4,11,138,0.7778167724609375,2.5424957275390625
DSB Iba1 21_40X_CA3,0.5,1.0,0.8925619834710744,1.7419354838709677,2,2,4,119,0.7436752319335938,1.3544082641601562
DSB Iba1 21_40X_CTX1,1.4,2.1538461538461537,0.6732673267326733,1.3737373737373737,13,7,20,202,0.9168624877929688,3.311634063720703
DSB Iba1 21_40X_CTX2,1.125,1.5,0.6809338521400778,1.3358778625954197,12,4,16,257,1.0347366333007812,3.338623046875
DSB Iba1 21_40X_CTX3,1.608695652173913,2.176470588235294,1.0341463414634147,2.0384615384615383,17,6,23,205,1.0148048400878906,4.6970367431640625
DSB Iba1 21_40X_DG,0.9230769230769231,1.3333333333333333,1.1442307692307692,1.4631147540983607,9,4,13,312,2.2064208984375,3.5135269165039062
DSB Iba1 22_40X_CA1,1.2666666666666666,2.111111111111111,1.2929936305732483,2.00990099009901,9,6,15,157,1.2415885925292969,6.178569793701172
DSB Iba1 22_40X_CA3,2.0,2.0,1.181159420289855,2.0123456790123457,6,0,6,138,1.2543678283691406,3.7606239318847656
DSB Iba1 22_40X_CTX1,1.6363636363636365,2.25,1.2648221343873518,2.0253164556962027,8,3,11,253,1.403045654296875,3.6371231079101562
DSB Iba1 22_40X_CTX2,1.0588235294117647,2.0,0.9893238434163701,1.9716312056737588,9,8,17,280,1.3582229614257812,4.0191650390625
DSB Iba1 22_40X_CTX3,1.25,2.0,0.4011627906976744,1.3529411764705883,5,3,8,172,0.2514839172363281,0.730133056640625
DSB Iba1 22_40X_DG,1.3333333333333333,1.5,1.71875,1.9784172661870503,8,1,9,320,3.1919479370117188,5.748558044433594
DSB Iba1 23_40X_CA1,1.1428571428571428,2.6666666666666665,0.6592592592592592,1.3088235294117647,3,4,7,135,0.5928993225097656,4.248046875
DSB Iba1 23_40X_CA3,1.0,2.0,0.6697247706422018,1.5208333333333333,3,3,6,109,0.531768798828125,2.0812034606933594
DSB Iba1 23_40X_CTX1,0.5185185185185185,1.2727272727272727,0.38578680203045684,1.1343283582089552,11,16,27,197,0.4361152648925781,5.792427062988281
DSB Iba1 23_40X_CTX2,0.0,,0.1065989847715736,1.1666666666666667,0,4,4,197,0.07200241088867188,0.7174491882324219
DSB Iba1 23_40X_CTX3,0.9090909090909091,1.25,0.7837837837837838,1.4146341463414633,8,3,11,148,0.6974220275878906,2.988147735595703
DSB Iba1 23_40X_DG,0.9090909090909091,1.6666666666666667,1.0755395683453237,1.4656862745098038,6,5,11,278,1.8776893615722656,7.934856414794922
DSB Iba1 24_40X_CA1,0.0,,0.5617977528089888,1.5625,0,7,7,178,0.4246711730957031,0.7791519165039062
DSB Iba1 24_40X_CA3,0.25,1.0,0.503448275862069,1.3773584905660377,1,3,4,145,0.2900123596191406,0.9073257446289062
DSB Iba1 24_40X_CTX1,0.0,,0.20869565217391303,1.263157894736842,0,20,20,229,0.23565292358398438,1.7583847045898438
DSB Iba1 24_40X_CTX2,0.5,1.2222222222222223,0.39464882943143814,1.3258426966292134,9,13,22,299,0.5938529968261719,3.3802032470703125
DSB Iba1 24_40X_CTX3,0.05555555555555555,1.0,0.4868421052631579,1.7076923076923076,1,17,18,228,0.5388259887695312,1.4982223510742188
DSB Iba1 24_40X_DG,0.14285714285714285,1.0,0.14207650273224043,1.368421052631579,1,6,7,183,0.11806488037109375,0.8672714233398438
DSB Iba1 25_40X_CA1,1.125,1.8,1.4814814814814814,2.1621621621621623,5,3,8,162,1.3138771057128906,3.1706809997558594
DSB Iba1 25_40X_CA3,1.2222222222222223,1.5714285714285714,1.7248322147651007,2.763440860215054,7,2,9,149,2.0705223083496094,2.813243865966797
DSB Iba1 25_40X_CTX1,0.625,1.3636363636363635,0.5117647058823529,1.2083333333333333,11,13,24,170,0.565338134765625,3.438568115234375
DSB Iba1 25_40X_CTX2,1.4,2.3333333333333335,1.6584158415841583,2.5968992248062017,15,10,25,202,1.6091346740722656,6.374835968017578
DSB Iba1 25_40X_CTX3,1.5,2.4,1.8893805309734513,2.7025316455696204,5,3,8,226,1.6841888427734375,2.7411460876464844
DSB Iba1 25_40X_DG,1.9166666666666667,2.3,2.0303030303030303,2.2754716981132077,10,2,12,297,4.139518737792969,3.3510208129882812
DSB Iba1 26_40X_CA1,2.625,3.0,2.9529411764705884,3.4383561643835616,7,1,8,85,7.658481597900391,5.84564208984375
DSB Iba1 26_40X_CA3,5.166666666666667,5.166666666666667,3.775,4.194444444444445,6,0,6,40,14.291000366210938,6.870269775390625
DSB Iba1 26_40X_CTX1,1.9411764705882353,2.0625,2.6770186335403725,2.7278481012658227,16,1,17,161,48.142242431640625,11.133575439453125
DSB Iba1 26_40X_CTX2,2.4347826086956523,2.4347826086956523,2.8035714285714284,2.8035714285714284,23,0,23,168,50.63896179199219,13.045120239257812
DSB Iba1 26_40X_CTX3,2.129032258064516,2.2,2.2246376811594204,2.240875912408759,30,1,31,138,60.15052795410156,27.424240112304688
DSB Iba1 26_40X_DG,2.875,2.875,3.4193548387096775,3.8780487804878048,8,0,8,93,15.996170043945312,7.449054718017578
DSB Iba1 27_40X_DG,2.75,2.75,1.8282828282828283,2.0804597701149423,4,0,4,99,37.166595458984375,1.7447471618652344
DSB Iba1 28_40X_CA1,0.0,,0.8241758241758241,1.3157894736842106,0,2,2,91,1.17950439453125,2.5665283203125
DSB Iba1 28_40X_CA3,1.0,1.0,0.5783132530120482,1.263157894736842,2,0,2,83,1.036834716796875,2.448272705078125
DSB Iba1 28_40X_CTX1,0.5,1.5,0.6201550387596899,1.4814814814814814,2,4,6,129,1.6277313232421875,3.2138824462890625
DSB Iba1 28_40X_CTX2,0.9230769230769231,1.7142857142857142,0.8333333333333334,1.9306930693069306,7,6,13,233,0.6724357604980469,2.5005340576171875
DSB Iba1 28_40X_CTX3,1.0,1.3333333333333333,1.1567796610169492,1.7843137254901962,9,3,12,236,0.9607315063476562,2.412891387939453
DSB Iba1 28_40X_DG,1.8461538461538463,2.0,2.3897637795275593,2.662280701754386,12,1,13,254,4.607105255126953,7.0148468017578125
DSB Iba1 29_40X_CA1,1.4,1.75,0.7364864864864865,1.345679012345679,8,2,10,148,0.8039474487304688,2.208709716796875
DSB Iba1 29_40X_CA3,1.0,1.25,0.59375,1.3103448275862069,4,1,5,128,0.6873130798339844,1.9129753112792969
DSB Iba1 29_40X_CTX1,1.1,1.6923076923076923,0.7570093457943925,1.4464285714285714,13,7,20,214,0.9842872619628906,5.022335052490234
DSB Iba1 29_40X_CTX2,1.3478260869565217,1.7222222222222223,1.1298076923076923,1.6666666666666667,18,5,23,208,1.3653755187988281,7.678985595703125
DSB Iba1 29_40X_CTX3,1.0,1.2307692307692308,0.5392670157068062,1.3037974683544304,13,3,16,191,0.4662513732910156,3.7689208984375
DSB Iba1 29_40X_DG,1.2,1.5,0.976027397260274,1.4039408866995073,4,1,5,292,2.083301544189453,2.2146224975585938
DSB Iba1 30_40X_CA1,0.0,,0.5111111111111111,1.3018867924528301,0,6,6,135,0.42133331298828125,1.6625404357910156
DSB Iba1 30_40X_CA3,1.0,1.3333333333333333,0.7586206896551724,1.4915254237288136,3,1,4,116,0.7200241088867188,1.3019561767578125
DSB Iba1 30_40X_CTX1,0.7727272727272727,1.7,0.430327868852459,1.1931818181818181,10,12,22,244,0.49762725830078125,2.7807235717773438
DSB Iba1 30_40X_CTX2,0.5,1.6666666666666667,0.5094339622641509,1.3106796116504855,6,14,20,265,0.5642890930175781,2.3637771606445312
DSB Iba1 30_40X_CTX3,0.7142857142857143,1.4285714285714286,0.3526570048309179,1.3518518518518519,7,7,14,207,0.2711296081542969,1.4829635620117188
DSB Iba1 30_40X_DG,0.6666666666666666,2.0,1.0899653979238755,1.7696629213483146,2,4,6,289,1.5737533569335938,2.1762847900390625
DSB Iba1 31_40X_CA1,1.5,1.875,0.9700598802395209,1.5,8,2,10,167,0.9081840515136719,3.8471221923828125
DSB Iba1 31_40X_CA3,2.0,2.0,0.8634146341463415,1.416,1,0,1,205,1.42059326171875,1.2179374694824219
DSB Iba1 31_40X_CTX1,0.7857142857142857,1.8333333333333333,0.41818181818181815,1.1358024691358024,6,8,14,220,0.45013427734375,3.5140037536621094
DSB Iba1 31_40X_CTX2,0.6666666666666666,1.4285714285714286,0.5615384615384615,1.2695652173913043,7,8,15,260,0.5597114562988281,2.9596328735351562
DSB Iba1 31_40X_CTX3,0.8125,1.4444444444444444,0.8095238095238095,1.5632183908045978,9,7,16,168,0.7208824157714844,3.2898902893066406
DSB Iba1 31_40X_DG,1.4166666666666667,2.125,1.6333333333333333,2.0631578947368423,8,4,12,240,2.1633148193359375,3.9017677307128906
DSB Iba1 32_40X_CA1,4.0,4.0,4.163636363636364,4.320754716981132,16,0,16,165,24.217510223388672,14.134979248046875
DSB Iba1 32_40X_CA3,1.8823529411764706,2.0,3.9642857142857144,4.111111111111111,16,1,17,112,35.25991439819336,14.082717895507812
DSB Iba1 32_40X_CTX1,2.7837837837837838,2.942857142857143,4.289655172413793,4.474820143884892,35,2,37,290,26.068115234375,14.151763916015625
DSB Iba1 32_40X_CTX2,1.6938775510204083,1.7291666666666667,2.484126984126984,2.534412955465587,48,1,49,251,45.59593200683594,17.71411895751953
DSB Iba1 32_40X_CTX3,2.606060606060606,2.8666666666666667,4.046391752577319,4.337016574585635,30,3,33,194,16.32986068725586,10.771465301513672
DSB Iba1 32_40X_DG,1.64,1.7083333333333333,3.244635193133047,3.420814479638009,48,2,50,233,20.56293487548828,27.629661560058594
DSB Iba1 33_40X_CA1,1.0,1.6666666666666667,0.7919463087248322,1.3563218390804597,3,2,5,149,0.8049964904785156,2.395153045654297
DSB Iba1 33_40X_CA3,1.0,1.5,0.9210526315789473,1.3779527559055118,6,3,9,189,1.3813972473144531,1.8873214721679688
DSB Iba1 33_40X_CTX1,0.7,1.75,0.6416666666666667,1.2419354838709677,4,6,10,239,1.5479087829589844,1.194000244140625
DSB Iba1 33_40X_CTX2,1.2307692307692308,1.7777777777777777,1.2186046511627906,1.9407407407407407,9,4,13,215,1.5409469604492188,2.6653289794921875
DSB Iba1 33_40X_CTX3,0.7,1.4,0.8035714285714286,1.5168539325842696,5,5,10,168,0.8223533630371094,2.5826454162597656
DSB Iba1 33_40X_DG,0.3333333333333333,1.0,1.5252525252525253,1.879668049792531,2,4,6,297,3.1828880310058594,3.2654762268066406
DSB Iba1 34_40X_CA1,2.5,2.5,3.736842105263158,3.9444444444444446,8,0,8,133,11.618709564208984,5.395984649658203
DSB Iba1 34_40X_CA3,4.0,4.0,4.797665369649805,5.158995815899582,6,0,6,257,18.45865249633789,4.882526397705078
DSB Iba1 34_40X_CTX1,2.2857142857142856,2.782608695652174,2.950657894736842,3.4767441860465116,23,5,28,304,9.898662567138672,6.429195404052734
DSB Iba1 34_40X_CTX2,2.6,2.888888888888889,3.0517241379310347,3.3146067415730336,36,4,40,290,30.911731719970703,9.554862976074219
DSB Iba1 34_40X_CTX3,1.8461538461538463,1.92,2.039301310043668,2.2780487804878047,25,1,26,229,8.549880981445312,7.129859924316406
DSB Iba1 34_40X_DG,2.0434782608695654,2.1363636363636362,3.5120481927710845,3.7371794871794872,22,1,23,166,13.27676773071289,9.005355834960938
DSB Iba1 35_40X_CA1,0.7777777777777778,1.75,0.46408839779005523,1.5,4,5,9,181,0.7157325744628906,3.268909454345703
DSB Iba1 35_40X_CA3,2.16,2.4545454545454546,3.3333333333333335,3.831168831168831,22,3,25,177,13.22774887084961,21.718120574951172
DSB Iba1 35_40X_CTX1,1.2727272727272727,2.3333333333333335,0.6428571428571429,1.693069306930693,12,10,22,266,0.7575035095214844,4.521656036376953
DSB Iba1 35_40X_CTX2,2.0852713178294575,2.1181102362204722,2.3248175182481754,2.4689922480620154,127,2,129,274,23.384380340576172,49.62272644042969
DSB Iba1 35_40X_CTX3,2.076923076923077,2.189189189189189,3.0594059405940595,3.2872340425531914,74,4,78,202,13.570690155029297,36.1638069152832
DSB Iba1 35_40X_DG,2.350515463917526,2.4516129032258065,2.6107594936708862,2.8156996587030716,93,4,97,316,13.68703842163086,46.29859924316406
DSB Iba1 36_40X_CA1,0.9166666666666666,1.375,0.8994974874371859,1.3984375,8,4,12,198,1.4990806579589844,2.2858619689941406
DSB Iba1 36_40X_CA3,0.75,2.0,0.7464788732394366,1.2926829268292683,3,5,8,142,1.174163818359375,1.1386871337890625
DSB Iba1 36_40X_CTX1,1.3529411764705883,1.7692307692307692,1.7573221757322175,2.359550561797753,13,4,17,239,2.8151512145996094,3.6052703857421875
DSB Iba1 36_40X_CTX2,1.4,2.0,1.145748987854251,1.6845238095238095,21,9,30,247,2.0681381225585938,4.596138000488281
DSB Iba1 36_40X_CTX3,1.5454545454545454,2.125,0.9638009049773756,1.4589041095890412,8,3,11,221,1.3293266296386719,2.627086639404297
DSB Iba1 36_40X_DG,1.4,1.75,1.5235109717868338,1.8620689655172413,4,1,5,319,4.043292999267578,1.8873214721679688
DSB Iba1 37_40X_CA1,1.0,1.75,1.105263157894737,2.0388349514563107,4,3,7,189,1.2406349182128906,1.4169692993164062
DSB Iba1 37_40X_CA3,0.7272727272727273,1.3333333333333333,1.3067484662576687,2.3152173913043477,6,5,11,163,1.8404960632324219,3.2583236694335938
DSB Iba1 37_40X_CTX1,1.1666666666666667,1.75,1.3462897526501767,2.0483870967741935,12,6,18,282,2.520465850830078,2.8922080993652344
DSB Iba1 37_40X_CTX2,1.6451612903225807,2.217391304347826,1.9588607594936709,2.3807692307692307,23,8,31,316,5.1082611083984375,6.322193145751953
DSB Iba1 37_40X_CTX3,1.75,2.3333333333333335,1.3883495145631068,1.881578947368421,27,9,36,206,3.800201416015625,5.6529998779296875
DSB Iba1 37_40X_DG,1.375,2.2,1.6743119266055047,2.18562874251497,5,3,8,218,4.963588714599609,2.9592514038085938
DSB Iba1 38_40X_DG,1.0,1.0,1.4705882352941178,1.639344262295082,4,0,4,68,36.49396896362305,1.7245292663574219
DSB Iba1 39_40X_CA1,1.3333333333333333,2.6666666666666665,0.6133333333333333,1.1219512195121952,3,3,6,150,0.7749557495117188,1.2140274047851562
DSB Iba1 39_40X_CA3,0.6,1.0,0.6532258064516129,1.2461538461538462,3,2,5,124,1.0321617126464844,1.1082649230957031
DSB Iba1 39_40X_CTX1,0.0,,0.3626943005181347,1.1111111111111112,0,2,2,193,0.4506111145019531,0.3711700439453125
DSB Iba1 39_40X_CTX2,0.2857142857142857,2.0,0.341991341991342,1.144927536231884,1,6,7,231,0.3875732421875,0.34961700439453125
DSB Iba1 39_40X_CTX3,0.75,1.5,0.23780487804878048,1.0263157894736843,2,2,4,164,0.2254486083984375,0.2208709716796875
DSB Iba1 39_40X_DG,1.375,1.5714285714285714,0.7239057239057239,1.3522012578616351,7,1,8,297,1.4722824096679688,1.7183303833007812
DSB Iba1 40_40X_CA1,0.5,1.0,0.34868421052631576,1.1041666666666667,2,2,4,152,0.4599571228027344,1.3429641723632812
DSB Iba1 40_40X_CA3,0.625,1.0,0.7032967032967034,1.28,5,3,8,91,0.5597114562988281,1.7145156860351562
DSB Iba1 40_40X_CTX1,0.8260869565217391,1.4615384615384615,0.5909090909090909,1.2839506172839505,13,10,23,176,0.6749153137207031,3.7994384765625
DSB Iba1 40_40X_CTX2,0.9090909090909091,1.6666666666666667,0.5664739884393064,1.2098765432098766,6,5,11,173,0.5100250244140625,3.7548065185546875
DSB Iba1 40_40X_CTX3,1.4761904761904763,1.631578947368421,0.6161616161616161,1.2842105263157895,19,2,21,197,0.711822509765625,4.794597625732422
DSB Iba1 40_40X_DG,1.8,2.25,1.0783132530120483,1.4552845528455285,4,1,5,332,2.08282470703125,0.7130622863769531
DSB Iba1 41_40X_CA1,0.5,1.0,0.5172413793103449,1.0396039603960396,2,2,4,203,0.7174491882324219,0.4645347595214844
DSB Iba1 41_40X_CA3,0.5,1.0,0.425,1.186046511627907,2,2,4,120,0.4147529602050781,0.6657600402832031
DSB Iba1 41_40X_CTX1,,,0.07602339181286549,1.0,0,0,0,171,0.066375732421875,0.01621246337890625
DSB Iba1 41_40X_CTX2,0.0,,0.1201923076923077,1.0869565217391304,0,6,6,208,0.07305145263671875,0.2507209777832031
DSB Iba1 41_40X_CTX3,0.6,1.5,0.16129032258064516,1.1363636363636365,2,3,5,155,0.08687973022460938,0.83465576171875
DSB Iba1 41_40X_DG,1.1666666666666667,1.1666666666666667,1.072972972972973,1.417857142857143,6,0,6,370,2.2176742553710938,0.9260177612304688
DSB Iba1 42_40X_CA1,1.6666666666666667,1.6666666666666667,0.3742690058479532,1.1636363636363636,3,0,3,171,0.5374908447265625,0.5733489990234375
DSB Iba1 42_40X_CA3,1.3333333333333333,2.0,0.6766917293233082,1.3043478260869565,4,2,6,133,0.6807327270507812,0.9168624877929688
DSB Iba1 42_40X_CTX1,0.6666666666666666,1.5,0.4409090909090909,1.1411764705882352,4,5,9,220,0.4649162292480469,0.74462890625
DSB Iba1 42_40X_CTX2,1.0,1.6666666666666667,0.4734042553191489,1.2191780821917808,9,6,15,187,0.4080772399902344,1.8243789672851562
DSB Iba1 42_40X_CTX3,1.5,1.875,0.6684782608695652,1.2947368421052632,8,2,10,184,0.6461143493652344,0.9996414184570312
DSB Iba1 42_40X_DG,0.8333333333333334,1.6666666666666667,0.7491289198606271,1.3782051282051282,3,3,6,286,1.3035774230957031,0.9884834289550781
DSB Iba1 43_40X_CA1,0.4166666666666667,1.25,0.3108108108108108,1.0952380952380953,4,8,12,148,0.3113746643066406,3.304767608642578
DSB Iba1 43_40X_CA3,0.6,1.5,1.2160804020100502,1.6805555555555556,2,3,5,199,2.048969268798828,5.7796478271484375
DSB Iba1 43_40X_CTX1,2.12,3.3125,1.3362068965517242,2.167832167832168,16,9,25,232,1.3188362121582031,12.746238708496094
DSB Iba1 43_40X_CTX2,0.5217391304347826,1.5,0.39712918660287083,1.1690140845070423,8,15,23,209,0.3693580627441406,7.944774627685547
DSB Iba1 43_40X_CTX3,0.8571428571428571,1.3333333333333333,0.8818181818181818,1.7636363636363637,9,5,14,220,0.8925437927246094,7.372093200683594
DSB Iba1 43_40X_DG,2.619047619047619,2.8947368421052633,2.4525862068965516,2.8029556650246303,19,2,21,232,3.8147926330566406,16.925048828125
DSB Iba1 44_40X_CA1,1.3846153846153846,1.3846153846153846,1.569767441860465,1.569767441860465,26,0,26,86,71.6085433959961,45.281124114990234
DSB Iba1 44_40X_CA3,1.15,1.15,1.6615384615384616,1.6615384615384616,20,0,20,65,81.05602264404297,48.995113372802734
DSB Iba1 44_40X_CTX1,1.1153846153846154,1.1153846153846154,1.3151750972762646,1.3151750972762646,78,0,78,257,83.38785171508789,61.879920959472656
DSB Iba1 44_40X_DG,1.1081081081081081,1.1081081081081081,1.3925925925925926,1.4242424242424243,74,0,74,135,45.105743408203125,39.72511291503906
DSB Iba1 45_40X_CA1,1.7142857142857142,2.1818181818181817,2.125,2.6842105263157894,11,3,14,144,1.8074989318847656,6.223964691162109
DSB Iba1 45_40X_CA3,1.1666666666666667,1.75,1.5732484076433122,2.3980582524271843,4,2,6,157,1.5021324157714844,5.231571197509766
DSB Iba1 45_40X_CTX1,0.6875,1.375,0.5265486725663717,1.4166666666666667,8,8,16,226,0.8280754089355469,4.201602935791016
DSB Iba1 45_40X_CTX2,0.8,1.4285714285714286,0.4,1.2222222222222223,14,11,25,219,0.4374504089355469,4.376411437988281
DSB Iba1 45_40X_CTX3,0.6842105263157895,1.625,0.44075829383886256,1.3285714285714285,8,11,19,211,0.37746429443359375,3.458404541015625
DSB Iba1 45_40X_DG,3.1538461538461537,4.555555555555555,2.2735849056603774,2.633879781420765,9,4,13,212,4.353618621826172,7.775020599365234
DSB Iba1 46_40X_CA1,2.076923076923077,2.189189189189189,2.8823529411764706,2.9473684210526314,37,2,39,136,48.19374084472656,47.704410552978516
DSB Iba1 46_40X_CA3,2.707317073170732,3.0833333333333335,4.147286821705427,4.6521739130434785,36,5,41,129,18.149757385253906,31.574440002441406
DSB Iba1 46_40X_CTX1,1.75,1.811764705882353,2.6353383458646618,2.6961538461538463,85,3,88,266,58.10279846191406,46.372127532958984
DSB Iba1 46_40X_CTX2,1.4958677685950412,1.5338983050847457,1.9619047619047618,1.9935483870967743,118,3,120,314,64.41020965576172,51.16119384765625
DSB Iba1 46_40X_CTX3,1.971830985915493,2.0,2.720149253731343,2.8038461538461537,70,1,71,267,45.4249382019043,32.654476165771484
DSB Iba1 46_40X_DG,1.6153846153846154,1.6153846153846154,2.149532710280374,2.149532710280374,65,0,65,107,52.95248031616211,56.203651428222656
DSB Iba1 47_40X_CA1,1.0555555555555556,1.7272727272727273,1.3502824858757063,2.463917525773196,11,7,18,177,3.0524253845214844,6.558036804199219
DSB Iba1 47_40X_CA3,2.176470588235294,3.3636363636363638,3.6566265060240966,4.56390977443609,11,6,17,166,5.192661285400391,8.901691436767578
DSB Iba1 47_40X_CTX1,0.6129032258064516,1.7272727272727273,0.5833333333333334,1.460431654676259,11,20,31,348,0.7054328918457031,5.655956268310547
DSB Iba1 47_40X_CTX2,2.230769230769231,2.4166666666666665,2.6156351791530943,2.9094202898550723,72,6,78,307,18.903064727783203,30.04922866821289
DSB Iba1 47_40X_CTX3,1.6216216216216217,2.0689655172413794,1.6134453781512605,2.0,29,8,37,238,5.331134796142578,14.159202575683594
DSB Iba1 47_40X_DG,2.5,2.857142857142857,3.8531468531468533,3.9927536231884058,7,1,8,143,22.7813720703125,13.895225524902344
DSB Iba1 48_40X_CA1,1.4285714285714286,1.6666666666666667,1.0317460317460319,1.5476190476190477,6,1,7,126,0.7757186889648438,3.3704757690429688
DSB Iba1 48_40X_CA3,1.25,1.25,0.5462962962962963,1.2826086956521738,4,0,4,108,0.5895614624023438,2.537250518798828
DSB Iba1 48_40X_CTX1,1.0,1.6666666666666667,0.673728813559322,1.272,21,14,35,236,0.8686065673828125,4.6924591064453125
DSB Iba1 48_40X_CTX2,1.0,1.6923076923076923,0.7358490566037735,1.2828947368421053,13,9,22,265,1.1111259460449219,3.7866592407226562
DSB Iba1 48_40X_CTX3,0.95,1.5833333333333333,0.7364016736401674,1.3333333333333333,12,8,20,239,1.1597633361816406,3.5945892333984375
DSB Iba1 48_40X_DG,1.2,1.8,1.7215189873417722,2.068441064638783,10,5,15,316,2.8412818908691406,5.111885070800781
DSB Iba1 49_40X_CA1,2.2941176470588234,2.2941176470588234,1.9395973154362416,2.3884297520661155,17,0,17,149,44.43187713623047,8.189868927001953
DSB Iba1 49_40X_CA3,1.25,2.272727272727273,1.8342857142857143,3.566666666666667,11,9,20,175,4.161643981933594,6.575107574462891
DSB Iba1 49_40X_CTX1,1.3333333333333333,1.4736842105263157,1.3435897435897435,1.5975609756097562,19,2,21,195,35.48917770385742,8.087635040283203
DSB Iba1 49_40X_CTX2,1.5909090909090908,1.9444444444444444,1.6812227074235808,1.934673366834171,18,4,22,229,37.35837936401367,6.462860107421875
DSB Iba1 49_40X_CTX3,0.625,1.25,1.1666666666666667,2.0,8,8,16,156,2.4756431579589844,2.4949073791503906
