index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB Iba1 16_40X_CA1,0.2922077922077922,1.0714285714285714,0.3333333333333333,1.0454545454545454,42,112,154,207,0.2091407775878906,88.63372802734375,CA1,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
1,DSB Iba1 16_40X_CA3,0.7398843930635838,1.641025641025641,0.7857142857142857,1.662790697674419,78,95,173,182,0.51116943359375,96.34952545166016,CA3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
2,DSB Iba1 16_40X_CTX1,0.0555555555555555,1.0,0.1835205992509363,1.0208333333333333,2,34,36,267,0.1309394836425781,13.59844207763672,CTX1,16,887,male,APP/PS1,poor,failed,optimal,optimal,False
3,DSB Iba1 16_40X_CTX2,0.5019762845849802,1.27,0.4907749077490775,1.2666666666666666,100,153,253,271,0.2966880798339844,94.93074417114258,CTX2,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
4,DSB Iba1 16_40X_CTX3,0.5677966101694916,1.2641509433962264,0.5650406504065041,1.3627450980392155,53,65,118,246,0.3927230834960937,54.76894378662109,CTX3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
5,DSB Iba1 16_40X_DG,0.3696682464454976,1.21875,0.3777777777777777,1.2142857142857142,64,147,211,225,0.2111434936523437,87.15362548828125,DG,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
6,DSB Iba1 17_40X_CA1,0.1818181818181818,1.0,0.3526011560693641,1.1090909090909091,2,9,11,173,0.1756668090820312,5.763816833496094,CA1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
7,DSB Iba1 17_40X_CA3,0.45,1.2857142857142858,0.6033519553072626,1.44,7,13,20,179,0.3710746765136719,6.432056427001953,CA3,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
8,DSB Iba1 17_40X_CTX1,0.5,1.125,0.2808988764044944,1.0416666666666667,8,10,18,267,0.1898765563964843,2.645301818847656,CTX1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
9,DSB Iba1 17_40X_CTX2,0.56,1.12,0.3322784810126582,1.1290322580645162,25,25,50,316,0.3108024597167969,11.802101135253906,CTX2,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
10,DSB Iba1 17_40X_CTX3,0.7428571428571429,1.4444444444444444,0.8944444444444445,1.788888888888889,18,17,35,180,0.6266593933105469,9.359455108642578,CTX3,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
11,DSB Iba1 17_40X_DG,0.3294117647058823,1.3333333333333333,0.4076923076923077,1.2183908045977012,21,64,85,260,0.3207206726074219,44.40708160400391,DG,17,892,female,APP/PS1,poor,failed,suboptimal,optimal,False
12,DSB Iba1 18_40X_CA1,1.0,2.0,0.8090909090909091,1.5084745762711864,6,6,12,110,0.4940032958984375,10.935688018798828,CA1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
13,DSB Iba1 18_40X_CA3,0.9333333333333332,1.5555555555555556,0.7766990291262136,1.6666666666666667,9,6,15,103,0.3874778747558594,7.825183868408203,CA3,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
14,DSB Iba1 18_40X_CTX1,0.217391304347826,1.0,0.1061224489795918,1.0833333333333333,5,18,23,245,0.0653266906738281,3.196430206298828,CTX1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
15,DSB Iba1 18_40X_CTX2,0.4705882352941176,1.3333333333333333,0.1629629629629629,1.0731707317073171,6,11,17,270,0.139617919921875,5.939960479736328,CTX2,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
16,DSB Iba1 18_40X_CTX3,0.4375,1.0,0.1886792452830188,1.2,7,9,16,159,0.1470565795898437,1.9624710083007808,CTX3,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
17,DSB Iba1 18_40X_DG,1.847457627118644,2.18,1.5070422535211268,1.963302752293578,50,9,59,142,2.2159576416015625,53.77206802368164,DG,18,231,male,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
18,DSB Iba1 19_40X_CA1,1.7142857142857142,2.0,1.9,2.2093023255813957,42,7,49,50,3.579425811767578,97.84984588623048,CA1,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
19,DSB Iba1 19_40X_CA3,1.660377358490566,2.046511627906977,1.7222222222222223,2.113636363636364,43,10,53,54,2.8852462768554688,98.4278678894043,CA3,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
20,DSB Iba1 19_40X_CTX1,0.8918918918918919,1.5172413793103448,0.9866666666666668,1.5913978494623655,87,61,148,150,1.7218589782714844,98.5675811767578,CTX1,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,optimal,False
21,DSB Iba1 19_40X_CTX2,0.6521739130434783,1.3043478260869563,0.6229508196721312,1.3103448275862069,23,23,46,61,0.6727218627929688,92.62237548828124,CTX2,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,optimal,False
22,DSB Iba1 19_40X_CTX3,0.4027777777777778,1.380952380952381,0.4352941176470588,1.48,21,51,72,85,0.3107070922851562,87.97607421875,CTX3,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,optimal,False
23,DSB Iba1 19_40X_DG,2.6153846153846154,2.7755102040816326,2.8846153846153846,3.0,49,3,52,52,4.388236999511719,97.98297882080078,DG,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
24,DSB Iba1 20_40X_CA1,0.5714285714285714,1.0,0.6,1.207792207792208,4,3,7,152,0.3499984741210937,1.447296142578125,CA1,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
25,DSB Iba1 20_40X_CA3,1.0,1.4,0.8760330578512396,1.536231884057971,5,2,7,121,0.4387855529785156,1.717853546142578,CA3,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
26,DSB Iba1 20_40X_CTX1,1.0,1.75,0.4095238095238095,1.131578947368421,4,3,7,210,0.1902580261230468,0.8257865905761719,CTX1,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
27,DSB Iba1 20_40X_CTX2,1.1578947368421053,1.5714285714285714,0.7840909090909091,1.4081632653061225,14,5,19,176,0.4044532775878906,2.0682334899902344,CTX2,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
28,DSB Iba1 20_40X_CTX3,0.3333333333333333,1.0,0.4126984126984127,1.0196078431372548,1,2,3,126,0.2260208129882812,0.5598068237304688,CTX3,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
29,DSB Iba1 20_40X_DG,0.875,1.4,1.1631944444444444,1.4502164502164503,5,3,8,288,0.9352684020996094,2.923774719238281,DG,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
30,DSB Iba1 21_40X_CA1,1.0,1.5714285714285714,0.7608695652173914,1.2209302325581397,7,4,11,138,0.3556251525878906,2.5424957275390625,CA1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
31,DSB Iba1 21_40X_CA3,0.5,1.0,0.7107438016528925,1.5357142857142858,2,2,4,119,0.342559814453125,1.3544082641601562,CA3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
32,DSB Iba1 21_40X_CTX1,1.3,2.0,0.5891089108910891,1.2934782608695652,13,7,20,202,0.4111289978027344,3.311634063720703,CTX1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
33,DSB Iba1 21_40X_CTX2,0.9375,1.3636363636363635,0.5992217898832685,1.2727272727272727,11,5,16,257,0.4201889038085937,3.338623046875,CTX2,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
34,DSB Iba1 21_40X_CTX3,1.2608695652173914,1.7058823529411764,0.6195121951219512,1.443181818181818,17,6,23,205,0.366973876953125,4.697036743164063,CTX3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
35,DSB Iba1 21_40X_DG,0.6923076923076923,1.0,0.9487179487179488,1.3155555555555556,9,4,13,312,0.9407997131347656,3.5135269165039062,DG,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
36,DSB Iba1 22_40X_CA1,0.6666666666666666,1.6666666666666667,0.7515923566878981,1.388235294117647,6,9,15,157,0.4444122314453125,6.178569793701172,CA1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
37,DSB Iba1 22_40X_CA3,1.0,1.5,0.8695652173913043,1.7647058823529411,4,2,6,138,0.5006790161132812,3.7606239318847656,CA3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
38,DSB Iba1 22_40X_CTX1,1.0909090909090908,1.7142857142857142,0.7549407114624506,1.3450704225352113,7,4,11,253,0.5188941955566406,3.637123107910156,CTX1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
39,DSB Iba1 22_40X_CTX2,0.6470588235294118,1.375,0.6192170818505338,1.392,8,9,17,280,0.5146026611328125,4.0191650390625,CTX2,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
40,DSB Iba1 22_40X_CTX3,1.0,2.0,0.2906976744186046,1.25,4,4,8,172,0.1000404357910156,0.730133056640625,CTX3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
41,DSB Iba1 22_40X_DG,0.8888888888888888,1.1428571428571428,1.240625,1.5753968253968254,7,2,9,320,1.319122314453125,5.748558044433594,DG,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
42,DSB Iba1 23_40X_CA1,0.2857142857142857,1.0,0.562962962962963,1.2063492063492065,2,5,7,135,0.26092529296875,4.248046875,CA1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
43,DSB Iba1 23_40X_CA3,1.0,2.0,0.5688073394495413,1.4090909090909092,3,3,6,109,0.2226829528808593,2.08120346069336,CA3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
44,DSB Iba1 23_40X_CTX1,0.3333333333333333,1.125,0.3096446700507614,1.0338983050847457,8,19,27,197,0.1782417297363281,5.792427062988281,CTX1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
45,DSB Iba1 23_40X_CTX2,0.0,,0.0710659898477157,1.0769230769230769,0,4,4,197,0.0226020812988281,0.7174491882324219,CTX2,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
46,DSB Iba1 23_40X_CTX3,0.8181818181818182,1.125,0.581081081081081,1.2285714285714286,8,3,11,148,0.235748291015625,2.988147735595703,CTX3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
47,DSB Iba1 23_40X_DG,0.7272727272727273,1.6,0.9136690647482014,1.3298429319371727,5,6,11,278,0.6613731384277344,7.934856414794922,DG,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
48,DSB Iba1 24_40X_CA1,0.0,,0.348314606741573,1.1071428571428572,0,7,7,178,0.1312255859375,0.7791519165039062,CA1,24,887,male,APP/PS1,good,passed,optimal,optimal,True
49,DSB Iba1 24_40X_CA3,0.25,1.0,0.3931034482758621,1.1875,1,3,4,145,0.1104354858398437,0.9073257446289062,CA3,24,887,male,APP/PS1,good,passed,optimal,optimal,True
50,DSB Iba1 24_40X_CTX1,0.0,,0.1391304347826087,1.0,0,20,20,229,0.0873565673828125,1.7583847045898438,CTX1,24,887,male,APP/PS1,good,passed,optimal,optimal,True
