index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
22,DSB GFAP 104_40X_CTX3,0.6666666666666666,1.0,0.8617886178861789,1.536231884057971,2,69,1,3,123,0.428009033203125,1.861572265625,0.6666666666666666,0.5609756097560976,CTX3,104,2142,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
23,DSB GFAP 104_40X_DG,0.7,1.4,1.576470588235294,1.887323943661972,5,284,5,10,339,1.607513427734375,4.4429779052734375,0.5,0.8377581120943953,DG,104,2142,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
24,DSB GFAP 105_40X_CA1,0.2,1.25,0.4639175257731959,1.2328767123287672,4,73,21,25,194,0.4522323608398437,5.18035888671875,0.16,0.3762886597938144,CA1,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
25,DSB GFAP 105_40X_CA3,0.5,1.0,0.8157894736842105,1.3777777777777778,5,90,5,10,152,0.5575180053710938,3.066444396972656,0.5,0.5921052631578947,CA3,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
26,DSB GFAP 105_40X_CTX1,0.5,2.0,0.5818181818181818,1.2075471698113207,1,106,3,4,220,0.5476951599121094,3.806591033935547,0.25,0.4818181818181818,CTX1,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
27,DSB GFAP 105_40X_CTX2,0.8235294117647058,1.5555555555555556,0.8,1.3714285714285714,9,140,8,17,240,0.7361412048339844,6.597328186035156,0.5294117647058824,0.5833333333333334,CTX2,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
28,DSB GFAP 105_40X_CTX3,0.375,1.0,0.7704918032786885,1.323943661971831,3,71,5,8,122,0.3973007202148437,2.708911895751953,0.375,0.5819672131147541,CTX3,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
29,DSB GFAP 105_40X_DG,0.9444444444444444,1.5454545454545454,1.2015503875968991,1.480891719745223,11,314,7,18,385,1.9763946533203125,4.847049713134766,0.6111111111111112,0.8155844155844156,DG,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
30,DSB GFAP 106_40X_CA1,0.3333333333333333,2.0,0.4202898550724637,1.2253521126760565,1,71,5,6,207,0.45928955078125,1.9285202026367188,0.1666666666666666,0.3429951690821256,CA1,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
31,DSB GFAP 106_40X_CA3,0.3157894736842105,1.0,0.8353658536585366,1.5393258426966292,6,89,13,19,164,0.579833984375,5.068206787109375,0.3157894736842105,0.5426829268292683,CA3,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
