index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB Iba1 16_40X_CA1,0.9365079365079364,1.923913043478261,0.8362068965517241,1.7962962962962965,92,97,189,232,1.0966300964355469,88.63372802734375,CA1,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
1,DSB Iba1 16_40X_CA3,4.513513513513513,4.7175141242937855,4.40625,4.726256983240224,177,8,185,192,18.227672576904297,96.34952545166016,CA3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
2,DSB Iba1 16_40X_CTX1,0.6428571428571429,1.6875,0.6483516483516484,1.8829787234042556,16,26,42,272,0.8442878723144531,13.59844207763672,CTX1,16,887,male,APP/PS1,poor,failed,optimal,optimal,False
3,DSB Iba1 16_40X_CTX2,2.240663900414938,2.26890756302521,2.327067669172932,2.38996138996139,238,3,241,266,39.40544128417969,94.93074417114258,CTX2,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
4,DSB Iba1 16_40X_CTX3,2.019230769230769,2.1,1.7385892116182573,2.053921568627451,100,4,104,241,9.070396423339844,54.76894378662109,CTX3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
5,DSB Iba1 16_40X_DG,0.6628959276018099,1.3820754716981132,0.6535087719298246,1.3796296296296295,212,230,438,452,1.1308670043945312,87.15362548828125,DG,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
6,DSB Iba1 17_40X_CA1,1.818181818181818,2.5,2.76530612244898,3.985294117647059,8,3,11,196,2.456283569335937,5.763816833496094,CA1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
7,DSB Iba1 17_40X_CA3,1.3157894736842106,1.9230769230769231,3.6174863387978142,4.762589928057554,13,6,19,183,5.110073089599609,6.432056427001953,CA3,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
8,DSB Iba1 17_40X_CTX1,2.411764705882353,2.9285714285714284,1.2769230769230768,2.141935483870968,14,3,17,260,1.3278961181640625,2.645301818847656,CTX1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
9,DSB Iba1 17_40X_CTX2,2.8461538461538463,2.9019607843137254,2.552980132450331,2.6404109589041096,51,1,52,302,29.74271774291992,11.802101135253906,CTX2,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
10,DSB Iba1 17_40X_CTX3,2.6296296296296298,2.6296296296296298,2.8944444444444444,3.196319018404908,27,0,27,180,18.192768096923828,9.359455108642578,CTX3,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
11,DSB Iba1 17_40X_DG,3.12751677852349,3.352517985611511,2.543560606060606,2.971238938053097,139,10,149,525,5.62286376953125,44.40708160400391,DG,17,892,female,APP/PS1,poor,failed,suboptimal,optimal,False
12,DSB Iba1 18_40X_CA1,1.3571428571428572,1.3571428571428572,2.5347222222222223,2.5347222222222223,14,0,14,144,71.99668884277344,10.935688018798828,CA1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,suboptimal,False
13,DSB Iba1 18_40X_CA3,1.9166666666666667,1.9166666666666667,4.074074074074074,4.11214953271028,12,0,12,108,36.4354133605957,7.825183868408203,CA3,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
14,DSB Iba1 18_40X_CTX1,1.8421052631578947,2.6923076923076925,1.88,2.858108108108108,13,6,19,225,3.354072570800781,3.196430206298828,CTX1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
15,DSB Iba1 18_40X_CTX2,3.2,3.2,3.7294117647058815,3.865853658536585,20,0,20,255,40.91596603393555,5.939960479736328,CTX2,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
16,DSB Iba1 18_40X_CTX3,3.0588235294117645,3.466666666666667,2.5789473684210527,3.392307692307692,15,2,17,171,18.92385482788086,1.9624710083007808,CTX3,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
17,DSB Iba1 18_40X_DG,1.1826923076923077,1.1826923076923077,1.8034188034188037,1.8034188034188037,104,0,104,351,83.64906311035156,53.77206802368164,DG,18,231,male,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
18,DSB Iba1 19_40X_CA1,1.0,1.0,1.0,1.0,66,0,66,68,99.50284957885742,97.84984588623048,CA1,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
19,DSB Iba1 19_40X_CA3,1.0140845070422535,1.0140845070422535,1.0136986301369864,1.0136986301369864,71,0,71,73,99.35731887817384,98.4278678894043,CA3,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
20,DSB Iba1 19_40X_CTX1,1.004739336492891,1.004739336492891,1.0047169811320755,1.0047169811320755,211,0,211,212,99.45621490478516,98.5675811767578,CTX1,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
21,DSB Iba1 19_40X_CTX2,1.0138888888888888,1.0138888888888888,1.0444444444444445,1.0444444444444445,72,0,71,89,97.04084396362305,92.62237548828124,CTX2,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
22,DSB Iba1 19_40X_CTX3,1.0,1.0,1.0,1.0,103,0,103,124,98.70357513427734,87.97607421875,CTX3,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
23,DSB Iba1 19_40X_DG,1.0,1.0,1.0,1.0,127,0,127,128,99.53365325927734,97.98297882080078,DG,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
24,DSB Iba1 20_40X_CA1,1.0,1.5,0.6645161290322581,1.3037974683544304,4,2,6,155,0.7762908935546875,1.447296142578125,CA1,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
25,DSB Iba1 20_40X_CA3,1.6,2.0,1.3245614035087718,2.126760563380281,4,1,5,114,1.1053085327148438,1.717853546142578,CA3,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
26,DSB Iba1 20_40X_CTX1,1.0,1.6666666666666667,0.5151515151515151,1.2289156626506024,3,2,5,198,0.4868507385253906,0.8257865905761719,CTX1,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
27,DSB Iba1 20_40X_CTX2,1.5,1.8333333333333333,1.069182389937107,1.6037735849056605,18,4,22,159,0.9496688842773438,2.0682334899902344,CTX2,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
28,DSB Iba1 20_40X_CTX3,0.6666666666666666,2.0,0.532608695652174,1.3611111111111112,1,2,3,92,0.5314826965332031,0.5598068237304688,CTX3,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
29,DSB Iba1 20_40X_DG,1.0,1.4,1.435483870967742,1.7682119205298013,5,2,7,372,2.3174285888671875,2.923774719238281,DG,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
30,DSB Iba1 21_40X_CA1,1.0,1.5714285714285714,0.851063829787234,1.3333333333333333,7,4,11,141,0.7778167724609375,2.5424957275390625,CA1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
31,DSB Iba1 21_40X_CA3,0.5,1.0,1.0,1.7833333333333334,2,2,4,107,0.7436752319335938,1.3544082641601562,CA3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
32,DSB Iba1 21_40X_CTX1,1.588235294117647,2.076923076923077,0.695,1.376237623762376,13,4,17,200,0.9168624877929688,3.311634063720703,CTX1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
33,DSB Iba1 21_40X_CTX2,1.2666666666666666,1.4615384615384617,0.7688888888888888,1.3410852713178294,13,2,15,225,1.0347366333007812,3.338623046875,CTX2,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
34,DSB Iba1 21_40X_CTX3,1.4782608695652173,2.0,1.0824742268041236,2.019230769230769,17,6,23,194,1.0148048400878906,4.697036743164063,CTX3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
35,DSB Iba1 21_40X_DG,0.9333333333333332,1.4,1.1310679611650485,1.4793650793650794,10,5,15,409,2.2064208984375,3.5135269165039062,DG,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
36,DSB Iba1 22_40X_CA1,1.0,1.9,1.206896551724138,1.9626168224299063,10,9,19,174,1.2415885925292969,6.178569793701172,CA1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
37,DSB Iba1 22_40X_CA3,2.1666666666666665,2.1666666666666665,1.2302158273381294,2.25,6,0,6,139,1.2543678283691406,3.7606239318847656,CA3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
38,DSB Iba1 22_40X_CTX1,1.5,2.5,1.2880658436213992,2.045751633986928,6,4,10,243,1.403045654296875,3.637123107910156,CTX1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
39,DSB Iba1 22_40X_CTX2,1.0588235294117647,2.0,1.0454545454545454,2.0145985401459856,9,8,17,264,1.3582229614257812,4.0191650390625,CTX2,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
40,DSB Iba1 22_40X_CTX3,1.25,2.0,0.3928571428571428,1.32,5,3,8,168,0.2514839172363281,0.730133056640625,CTX3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
41,DSB Iba1 22_40X_DG,1.7647058823529411,2.0,1.633838383838384,1.9313432835820896,15,2,17,395,3.1919479370117188,5.748558044433594,DG,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
42,DSB Iba1 23_40X_CA1,1.0,2.6666666666666665,0.6617647058823529,1.3043478260869563,3,5,8,136,0.5928993225097656,4.248046875,CA1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
43,DSB Iba1 23_40X_CA3,0.875,1.75,0.6491228070175439,1.5416666666666667,4,4,8,114,0.531768798828125,2.08120346069336,CA3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
44,DSB Iba1 23_40X_CTX1,0.56,1.2727272727272727,0.387434554973822,1.15625,11,14,25,191,0.4361152648925781,5.792427062988281,CTX1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
45,DSB Iba1 23_40X_CTX2,0.0,,0.075,1.125,0,5,5,240,0.0720024108886718,0.7174491882324219,CTX2,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
46,DSB Iba1 23_40X_CTX3,0.9090909090909092,1.25,0.7905405405405406,1.4444444444444444,8,3,11,148,0.6974220275878906,2.988147735595703,CTX3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
47,DSB Iba1 23_40X_DG,1.0,1.4545454545454546,1.122969837587007,1.4622356495468278,11,5,16,429,1.8776893615722656,7.934856414794922,DG,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
48,DSB Iba1 24_40X_CA1,0.0,,0.5642458100558659,1.6031746031746033,0,6,6,179,0.4246711730957031,0.7791519165039062,CA1,24,887,male,APP/PS1,good,passed,optimal,optimal,True
49,DSB Iba1 24_40X_CA3,0.25,1.0,0.6,1.4375,1,3,4,115,0.2900123596191406,0.9073257446289062,CA3,24,887,male,APP/PS1,good,passed,optimal,optimal,True
50,DSB Iba1 24_40X_CTX1,0.0,,0.1933701657458563,1.2962962962962965,0,19,19,181,0.2356529235839843,1.7583847045898438,CTX1,24,887,male,APP/PS1,good,passed,optimal,optimal,True
51,DSB Iba1 24_40X_CTX2,0.7058823529411765,1.2,0.4555984555984556,1.3563218390804597,10,7,17,259,0.5938529968261719,3.3802032470703125,CTX2,24,887,male,APP/PS1,good,passed,optimal,optimal,True
