index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
26,DSB Iba1 20_40X_CTX1,2.0,3.0,0.5519125683060109,1.2317073170731707,4,2,6,183,0.4868507385253906,0.8257865905761719,CTX1,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
27,DSB Iba1 20_40X_CTX2,2.0,2.4285714285714284,1.0875,1.6893203883495145,14,3,17,160,0.9496688842773438,2.0682334899902344,CTX2,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
28,DSB Iba1 20_40X_CTX3,0.6666666666666666,2.0,0.5754716981132075,1.2448979591836735,1,2,3,106,0.5314826965332031,0.5598068237304688,CTX3,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
29,DSB Iba1 20_40X_DG,1.3333333333333333,2.0,1.594890510948905,1.8208333333333333,4,2,6,274,2.3174285888671875,2.923774719238281,DG,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
30,DSB Iba1 21_40X_CA1,1.0,1.5714285714285714,0.8888888888888888,1.3043478260869563,7,4,11,135,0.7778167724609375,2.5424957275390625,CA1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
31,DSB Iba1 21_40X_CA3,0.75,1.0,0.9469026548672568,1.7258064516129032,3,1,4,113,0.7436752319335938,1.3544082641601562,CA3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
32,DSB Iba1 21_40X_CTX1,1.55,2.2142857142857144,0.700507614213198,1.3663366336633664,14,6,20,197,0.9168624877929688,3.311634063720703,CTX1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
33,DSB Iba1 21_40X_CTX2,1.2666666666666666,1.5833333333333333,0.7288135593220338,1.34375,12,3,15,236,1.0347366333007812,3.338623046875,CTX2,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
34,DSB Iba1 21_40X_CTX3,1.875,2.142857142857143,1.1076923076923078,2.0970873786407767,21,3,24,195,1.0148048400878906,4.697036743164063,CTX3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
35,DSB Iba1 21_40X_DG,1.3125,1.75,1.3553113553113554,1.6517857142857142,12,4,16,273,2.2064208984375,3.5135269165039062,DG,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
36,DSB Iba1 22_40X_CA1,1.6,2.4,1.4,2.0505050505050506,10,5,15,145,1.2415885925292969,6.178569793701172,CA1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
37,DSB Iba1 22_40X_CA3,2.142857142857143,2.5,1.2713178294573644,2.102564102564102,6,1,7,129,1.2543678283691406,3.7606239318847656,CA3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
38,DSB Iba1 22_40X_CTX1,2.0,3.142857142857143,1.318181818181818,2.071428571428572,7,4,11,242,1.403045654296875,3.637123107910156,CTX1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
39,DSB Iba1 22_40X_CTX2,1.1176470588235294,2.111111111111111,1.0823529411764703,2.0597014925373136,9,8,17,255,1.3582229614257812,4.0191650390625,CTX2,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
40,DSB Iba1 22_40X_CTX3,1.3333333333333333,2.0,0.4277108433734939,1.339622641509434,6,3,9,166,0.2514839172363281,0.730133056640625,CTX3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
41,DSB Iba1 22_40X_DG,1.5454545454545454,1.8888888888888888,1.8571428571428568,2.120567375886525,9,2,11,322,3.1919479370117188,5.748558044433594,DG,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
42,DSB Iba1 23_40X_CA1,1.4285714285714286,3.333333333333333,0.7054263565891473,1.338235294117647,3,4,7,129,0.5928993225097656,4.248046875,CA1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
43,DSB Iba1 23_40X_CA3,1.0,1.75,0.7087378640776699,1.5208333333333333,4,3,7,103,0.531768798828125,2.08120346069336,CA3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
44,DSB Iba1 23_40X_CTX1,0.5185185185185185,1.2727272727272727,0.4130434782608695,1.1343283582089552,11,16,27,184,0.4361152648925781,5.792427062988281,CTX1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
45,DSB Iba1 23_40X_CTX2,0.0,,0.0971428571428571,1.1333333333333333,0,4,4,175,0.0720024108886718,0.7174491882324219,CTX2,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
46,DSB Iba1 23_40X_CTX3,0.8333333333333334,1.25,0.841726618705036,1.4625,8,4,12,139,0.6974220275878906,2.988147735595703,CTX3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
47,DSB Iba1 23_40X_DG,1.0,1.8,1.205298013245033,1.5230125523012552,5,4,9,301,1.8776893615722656,7.934856414794922,DG,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
48,DSB Iba1 24_40X_CA1,0.0,,0.6234567901234568,1.6031746031746033,0,7,7,162,0.4246711730957031,0.7791519165039062,CA1,24,887,male,APP/PS1,good,passed,optimal,optimal,True
49,DSB Iba1 24_40X_CA3,0.25,1.0,0.5803571428571429,1.3829787234042554,1,3,4,112,0.2900123596191406,0.9073257446289062,CA3,24,887,male,APP/PS1,good,passed,optimal,optimal,True
50,DSB Iba1 24_40X_CTX1,0.0,,0.2386363636363636,1.2727272727272727,0,16,16,176,0.2356529235839843,1.7583847045898438,CTX1,24,887,male,APP/PS1,good,passed,optimal,optimal,True
51,DSB Iba1 24_40X_CTX2,0.5217391304347826,1.3333333333333333,0.46875,1.348314606741573,9,14,23,256,0.5938529968261719,3.3802032470703125,CTX2,24,887,male,APP/PS1,good,passed,optimal,optimal,True
52,DSB Iba1 24_40X_CTX3,0.1875,1.0,0.5373134328358209,1.7704918032786885,3,13,16,201,0.5388259887695312,1.4982223510742188,CTX3,24,887,male,APP/PS1,good,passed,optimal,optimal,True
53,DSB Iba1 24_40X_DG,0.1428571428571428,1.0,0.1633663366336633,1.2692307692307692,1,6,7,202,0.1180648803710937,0.8672714233398438,DG,24,887,male,APP/PS1,good,passed,optimal,optimal,True
54,DSB Iba1 25_40X_CA1,1.2222222222222223,1.8333333333333333,1.5838926174496644,2.185185185185185,6,3,9,149,1.3138771057128906,3.17068099975586,CA1,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
55,DSB Iba1 25_40X_CA3,1.2222222222222223,1.5714285714285714,1.7724137931034485,2.8241758241758244,7,2,9,145,2.0705223083496094,2.813243865966797,CA3,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
56,DSB Iba1 25_40X_CTX1,0.7142857142857143,1.3636363636363635,0.583941605839416,1.2307692307692308,11,10,21,137,0.565338134765625,3.438568115234375,CTX1,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
57,DSB Iba1 25_40X_CTX2,1.5833333333333333,2.7142857142857144,1.766839378238342,2.623076923076923,14,10,24,193,1.6091346740722656,6.374835968017578,CTX2,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
58,DSB Iba1 25_40X_CTX3,1.5,2.4,2.009523809523809,2.813333333333333,5,3,8,210,1.6841888427734375,2.7411460876464844,CTX3,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
59,DSB Iba1 25_40X_DG,2.0,2.363636363636364,2.248407643312102,2.4599303135888504,11,2,13,314,4.139518737792969,3.351020812988281,DG,25,2014,male,APP/PS1,good,passed,optimal,optimal,True
60,DSB Iba1 26_40X_CA1,2.9166666666666665,3.1818181818181817,3.0927835051546397,3.5294117647058822,11,1,12,97,7.658481597900391,5.84564208984375,CA1,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
61,DSB Iba1 26_40X_CA3,6.166666666666667,6.166666666666667,4.346153846153846,4.708333333333333,6,0,6,52,14.291000366210938,6.870269775390625,CA3,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
