index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB Iba1 16_40X_CA1,0.8051948051948052,1.8235294117647056,0.8019323671497585,1.676767676767677,68,86,154,207,1.0966300964355469,88.63372802734375,CA1,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
1,DSB Iba1 16_40X_CA3,3.791907514450867,4.0,4.065934065934066,4.252873563218391,164,9,173,182,18.227672576904297,96.34952545166016,CA3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
2,DSB Iba1 16_40X_CTX1,0.9166666666666666,2.2,0.6591760299625468,1.8526315789473684,15,21,36,267,0.8442878723144531,13.59844207763672,CTX1,16,887,male,APP/PS1,poor,failed,optimal,optimal,False
3,DSB Iba1 16_40X_CTX2,2.197628458498024,2.2329317269076303,2.4649446494464944,2.50187265917603,249,4,253,271,39.40544128417969,94.93074417114258,CTX2,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
4,DSB Iba1 16_40X_CTX3,1.957627118644068,2.026315789473684,1.7764227642276422,2.0325581395348835,114,4,118,246,9.070396423339844,54.76894378662109,CTX3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
5,DSB Iba1 16_40X_DG,0.90521327014218,1.6324786324786325,0.9377777777777778,1.6356589147286822,117,94,211,225,1.1308670043945312,87.15362548828125,DG,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
6,DSB Iba1 17_40X_CA1,1.7272727272727273,2.375,2.514450867052023,3.6554621848739495,8,3,11,173,2.456283569335937,5.763816833496094,CA1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
7,DSB Iba1 17_40X_CA3,1.55,2.2142857142857144,3.2960893854748603,4.244604316546763,14,6,20,179,5.110073089599609,6.432056427001953,CA3,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
8,DSB Iba1 17_40X_CTX1,2.0,2.4,1.2134831460674158,2.012422360248447,15,3,18,267,1.3278961181640625,2.645301818847656,CTX1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
9,DSB Iba1 17_40X_CTX2,3.06,3.1875,2.7278481012658227,2.835526315789474,48,2,50,316,29.74271774291992,11.802101135253906,CTX2,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
