index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
22,DSB Iba1 104_40X_CTX3,0.9285714285714286,1.3,0.84,1.381578947368421,10,76,4,14,125,1.1771202087402344,1.9237518310546875,0.7142857142857143,0.608,CTX3,104,2142,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
23,DSB Iba1 104_40X_DG,0.5,2.0,1.1826625386996903,1.6050420168067228,2,238,6,8,323,3.223705291748047,2.1027565002441406,0.25,0.7368421052631579,DG,104,2142,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
24,DSB Iba1 105_40X_CA1,0.5,1.5,0.6166666666666667,1.1746031746031746,2,63,4,6,120,0.9904861450195312,1.6747474670410156,0.3333333333333333,0.525,CA1,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
25,DSB Iba1 105_40X_CA3,0.7142857142857143,1.0,0.7849462365591398,1.431372549019608,5,51,2,7,93,0.8818626403808594,2.7174949645996094,0.7142857142857143,0.5483870967741935,CA3,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
26,DSB Iba1 105_40X_CTX1,0.9090909090909092,1.5384615384615383,0.47953216374269,1.1884057971014492,13,69,9,22,171,0.6269454956054688,2.496623992919922,0.5909090909090909,0.4035087719298245,CTX1,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
27,DSB Iba1 105_40X_CTX2,1.368421052631579,1.7333333333333334,1.125,1.736842105263158,15,114,4,19,176,1.6535758972167969,3.5526275634765625,0.7894736842105263,0.6477272727272727,CTX2,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
28,DSB Iba1 105_40X_CTX3,1.4583333333333333,1.75,0.9230769230769232,1.5384615384615383,20,117,4,24,195,1.664447784423828,2.996444702148437,0.8333333333333334,0.6,CTX3,105,2124,male,APP/PS1,good,passed,optimal,optimal,True
29,DSB Iba1 106_40X_CA1,0.1428571428571428,1.0,0.4294871794871794,1.098360655737705,1,61,6,7,156,0.8664131164550781,1.0844230651855469,0.1428571428571428,0.391025641025641,CA1,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
30,DSB Iba1 106_40X_CA3,0.5,1.0,0.7017543859649122,1.3333333333333333,1,60,1,2,114,0.6819725036621094,0.821685791015625,0.5,0.5263157894736842,CA3,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
31,DSB Iba1 106_40X_CTX1,0.4545454545454545,1.25,0.5714285714285714,1.1666666666666667,4,96,7,11,196,1.1014938354492188,1.4286994934082031,0.3636363636363636,0.4897959183673469,CTX1,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
32,DSB Iba1 106_40X_CTX2,0.6,1.0,0.6479591836734694,1.27,3,100,2,5,196,1.137542724609375,0.7717132568359375,0.6,0.5102040816326531,CTX2,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
33,DSB Iba1 106_40X_CTX3,1.3,1.8571428571428568,0.9433962264150944,1.5789473684210529,7,95,3,10,159,1.324176788330078,0.7843017578125,0.7,0.5974842767295597,CTX3,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
34,DSB Iba1 106_40X_DG,0.5,1.3333333333333333,1.0833333333333333,1.5260869565217392,3,230,5,8,323,2.854442596435547,1.5664100646972656,0.375,0.7120743034055728,DG,106,2140,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
35,DSB Iba1 107_40X_CA1,0.8571428571428571,1.5,0.7114093959731543,1.325,4,80,3,7,149,1.4398574829101562,2.02789306640625,0.5714285714285714,0.5369127516778524,CA1,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
36,DSB Iba1 107_40X_CA3,0.75,1.2,0.9206349206349206,1.4871794871794872,5,78,3,8,126,1.4561653137207031,2.191638946533203,0.625,0.6190476190476191,CA3,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
37,DSB Iba1 107_40X_CTX1,0.8928571428571429,1.5625,0.577922077922078,1.2191780821917808,16,73,12,28,154,1.1278152465820312,2.447032928466797,0.5714285714285714,0.474025974025974,CTX1,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
38,DSB Iba1 107_40X_CTX2,1.2,1.6,1.0289855072463767,1.4489795918367347,15,147,5,20,207,2.0461082458496094,2.1589279174804688,0.75,0.7101449275362319,CTX2,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
39,DSB Iba1 107_40X_CTX3,0.8666666666666667,1.3,0.7531380753138075,1.313868613138686,10,137,5,15,239,1.746368408203125,1.247882843017578,0.6666666666666666,0.5732217573221757,CTX3,107,2122,male,APP/PS1,good,passed,optimal,optimal,True
